index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
1,16825.078547369016,-0.0299018134,0.0301339198,-1.816081e-06,1.752148e-06,0
2,16830.147736988914,-0.029901536,0.0301341255,-1.816199e-06,1.750951e-06,0
3,16841.79708803232,-0.0299009813,0.0301332886,-1.81448e-06,1.75012e-06,0
4,16830.40398759204,-0.0299015312,0.0301336138,-1.81489e-06,1.752175e-06,0
5,16826.11731225101,-0.0299017082,0.0301335755,-1.8162e-06,1.751782e-06,0
6,16823.72128646501,-0.0298998144,0.0301331451,-1.816144e-06,1.752208e-06,0
7,16831.35822820297,-0.0299023442,0.0301351106,-1.815545e-06,1.751455e-06,0
8,16826.75060084784,-0.0299019856,0.0301337572,-1.816264e-06,1.751611e-06,0
9,16825.373285325626,-0.0299021529,0.0301360958,-1.816828e-06,1.751488e-06,0
10,16823.882189348515,-0.0299004122,0.0301339963,-1.816531e-06,1.751873e-06,0
11,16826.226618586068,-0.0299002448,0.0301340155,-1.816407e-06,1.751491e-06,0
12,16828.226532525165,-0.0299019903,0.0301339868,-1.815945e-06,1.751631e-06,0
13,16845.52676399368,-0.0299014669,0.0301348113,-1.814901e-06,1.749029e-06,0
14,16856.354678724125,-0.0299021842,0.0301336109,-1.81333e-06,1.748282e-06,0
15,16840.31329093774,-0.0299018399,0.0301337591,-1.815241e-06,1.749752e-06,0
16,16842.23057932389,-0.0299012995,0.0301328314,-1.813693e-06,1.750807e-06,0
17,16855.518703584275,-0.0299008356,0.0301334148,-1.813008e-06,1.748689e-06,0
18,16835.813327672382,-0.0299022464,0.0301334053,-1.815798e-06,1.750151e-06,0
19,16842.142728899813,-0.0299016534,0.0301348591,-1.814877e-06,1.749783e-06,0
20,16839.42719519868,-0.0299003956,0.0301324823,-1.814447e-06,1.750572e-06,0
21,16837.76165839148,-0.0299013999,0.0301332857,-1.81548e-06,1.749999e-06,0
22,16847.872452377163,-0.0299024138,0.0301344574,-1.814416e-06,1.749053e-06,0
23,16839.61325881619,-0.0299005439,0.0301356243,-1.815766e-06,1.749409e-06,0
24,16836.784614987693,-0.029902672,0.0301358203,-1.815372e-06,1.75054e-06,0
25,16830.065671327146,-0.0299005391,0.0301349643,-1.815157e-06,1.752001e-06,0
26,16851.739048054806,-0.0299005009,0.0301337352,-1.813477e-06,1.749018e-06,0
27,16845.4027387605,-0.029901969,0.0301341704,-1.814248e-06,1.7497e-06,0
28,16838.37110615863,-0.0299031694,0.0301329988,-1.814794e-06,1.750644e-06,0
29,16830.534545458624,-0.0299011656,0.0301344956,-1.815986e-06,1.751082e-06,0
30,16835.8870413632,-0.0298989418,0.0301332857,-1.815963e-06,1.749767e-06,0
31,16841.3284009659,-0.0299021795,0.0301329796,-1.814287e-06,1.750465e-06,0
32,16839.61690064674,-0.0298990853,0.0301337448,-1.814965e-06,1.750011e-06,0
33,16846.38478437222,-0.0299022321,0.0301341896,-1.814268e-06,1.749489e-06,0
34,16842.768739775966,-0.0299021029,0.0301342326,-1.813824e-06,1.750693e-06,0
35,16834.11517261143,-0.0299013043,0.030134773,-1.816145e-06,1.750189e-06,0
36,16837.03648546774,-0.0299006922,0.0301331757,-1.814416e-06,1.751168e-06,0
37,16838.345440995934,-0.0299003335,0.0301346487,-1.815858e-06,1.749515e-06,0
38,16815.24477565371,-0.0299015673,0.0301347587,-1.81513e-06,1.755221e-06,0
39,16810.784811175778,-0.0299012421,0.0301326257,-1.815164e-06,1.755988e-06,0
40,16822.317834440237,-0.0299012421,0.0301344813,-1.819608e-06,1.749206e-06,0
41,16811.75261669741,-0.0299000178,0.0301349021,-1.819219e-06,1.75179e-06,0
42,16811.878437799885,-0.0299026864,0.0301349356,-1.817656e-06,1.753487e-06,0
43,16813.33276015953,-0.0299016821,0.0301347108,-1.818696e-06,1.752065e-06,0
44,16835.440970320622,-0.0299011895,0.030135323,-1.815132e-06,1.750947e-06,0
45,16804.147254285792,-0.0299005726,0.0301352178,-1.818651e-06,1.754026e-06,0
46,16816.121565222264,-0.0299018303,0.0301334053,-1.816137e-06,1.753963e-06,0
47,16832.394475187382,-0.0299016104,0.0301340365,-1.817638e-06,1.749035e-06,0
48,16829.569402052886,-0.0299005726,0.0301350791,-1.815601e-06,1.751671e-06,0
49,16808.60033797631,-0.0299018399,0.0301359256,-1.81745e-06,1.754398e-06,0
50,16802.54400704829,-0.0299030307,0.0301335344,-1.817398e-06,1.755666e-06,0
51,16806.76390645966,-0.029900563,0.0301342565,-1.816854e-06,1.755209e-06,0
52,16828.176216383188,-0.0299008261,0.0301340796,-1.816784e-06,1.750739e-06,0
53,16815.595210885087,-0.0299004913,0.0301327979,-1.818154e-06,1.751942e-06,0
54,16815.99460302486,-0.0299019308,0.0301336587,-1.817347e-06,1.752801e-06,0
55,16815.57970882562,-0.0299003048,0.0301340557,-1.817574e-06,1.752589e-06,0
56,16819.734440880246,-0.0299028872,0.0301343139,-1.816637e-06,1.752813e-06,0
57,16834.147946535995,-0.0299023947,0.0301355334,-1.813208e-06,1.753229e-06,0
58,16828.294460759895,-0.0299000752,0.0301350504,-1.817469e-06,1.750042e-06,0
59,16830.663969418227,-0.0299006395,0.0301358873,-1.816633e-06,1.750459e-06,0
60,16830.039268960423,-0.0299001565,0.0301358586,-1.813903e-06,1.753291e-06,0
61,16810.015165201574,-0.0299006252,0.0301335535,-1.817826e-06,1.753508e-06,0
62,16820.739836908633,-0.0299016677,0.0301343282,-1.815949e-06,1.753216e-06,0
63,16798.076347881317,-0.0299000603,0.0301368525,-1.818344e-06,1.755691e-06,0
64,16826.096056572977,-0.0299005098,0.0301360778,-1.817455e-06,1.750609e-06,0
65,16814.13359847636,-0.0298984056,0.030134777,-1.818475e-06,1.751925e-06,0
66,16832.32001592538,-0.0298986304,0.0301361113,-1.817285e-06,1.74935e-06,0
67,16847.453280227153,-0.0298997303,0.0301349396,-1.81363e-06,1.749797e-06,0
68,16841.799458788297,-0.0299013228,0.0301328545,-1.814414e-06,1.75018e-06,0
69,16844.770537897075,-0.0299010598,0.030133854,-1.813114e-06,1.750895e-06,0
70,16836.24126874799,-0.0299009163,0.0301334666,-1.816498e-06,1.749285e-06,0
71,16835.73974144763,-0.0299003424,0.0301334475,-1.81556e-06,1.750294e-06,0
72,16828.341451668828,-0.0299011315,0.0301329501,-1.817696e-06,1.749743e-06,0
73,16819.758215674377,-0.0299000603,0.0301332562,-1.814615e-06,1.754599e-06,0
74,16825.1121063666,-0.0299025423,0.0301338827,-1.818979e-06,1.749284e-06,0
75,16839.01850560598,-0.029900419,0.0301357,-1.815533e-06,1.749765e-06,0
76,16812.004283283655,-0.0299031544,0.0301340596,-1.818634e-06,1.752458e-06,0
77,16814.942756023807,-0.0299011172,0.030133811,-1.815426e-06,1.754906e-06,0
78,16824.021533369858,-0.0299014472,0.0301336436,-1.817583e-06,1.750832e-06,0
79,16812.89858871408,-0.029901715,0.0301335479,-1.816804e-06,1.753982e-06,0
80,16816.087143948353,-0.0299015571,0.0301334379,-1.818571e-06,1.751522e-06,0
81,16794.339244191902,-0.0299009163,0.0301332036,-1.819923e-06,1.754741e-06,0
82,16804.995994291796,-0.0299016911,0.0301325102,-1.817989e-06,1.754413e-06,0
83,16800.994060598463,-0.0299040822,0.0301329932,-1.818679e-06,1.754745e-06,0
84,16785.80885029583,-0.0299037522,0.0301339496,-1.819864e-06,1.75683e-06,0
85,16777.373810429403,-0.0299013276,0.030132931,-1.821881e-06,1.756406e-06,0
86,16773.682237089335,-0.0299017915,0.0301331462,-1.822253e-06,1.756862e-06,0
87,16809.886842789794,-0.0299009163,0.030133964,-1.822268e-06,1.749135e-06,0
88,16801.455228840943,-0.0299009833,0.0301325484,-1.818263e-06,1.754852e-06,0
89,16869.56559857208,-0.0299012798,0.0301330506,-1.806996e-06,1.75174e-06,0
90,16926.75764867749,-0.0299036327,0.0301331223,-1.8077e-06,1.739155e-06,0
91,16932.85769646674,-0.029902528,0.0301339688,-1.805515e-06,1.740047e-06,0
92,16926.30747633222,-0.0298999694,0.0301325484,-1.806021e-06,1.740678e-06,0
93,16922.345439759385,-0.0298993286,0.0301337918,-1.806451e-06,1.741114e-06,0
94,16918.851545194764,-0.0299016815,0.0301335097,-1.806827e-06,1.741593e-06,0
95,16907.18037266234,-0.029900615,0.0301320654,-1.807328e-06,1.743393e-06,0
96,16917.25715148781,-0.0299019636,0.030134117,-1.807986e-06,1.740821e-06,0
97,16853.911818723387,-0.0299018154,0.0301322567,-1.814047e-06,1.747979e-06,0
98,16922.450800344464,-0.0298991325,0.030133854,-1.807321e-06,1.740214e-06,0
99,16933.1693741834,-0.0298988695,0.0301324671,-1.80566e-06,1.739532e-06,0
100,16931.66128322184,-0.0299003807,0.0301350065,-1.804405e-06,1.741342e-06,0
101,16915.893146659888,-0.0299016002,0.0301331414,-1.806541e-06,1.742473e-06,0
102,16937.056837485423,-0.0298996155,0.0301327493,-1.805852e-06,1.738587e-06,0
103,16904.545823161203,-0.0299004381,0.0301338588,-1.808008e-06,1.743362e-06,0
104,16846.71264886477,-0.0299009354,0.030133218,-1.819736e-06,1.743817e-06,0
105,16906.090379643392,-0.0299005529,0.030133701,-1.809321e-06,1.741722e-06,0
106,16934.71953152767,-0.029899386,0.0301365656,-1.806333e-06,1.738807e-06,0
107,16876.288891331253,-0.0299030062,0.0301356235,-1.806091e-06,1.751482e-06,0
108,16837.1908092771,-0.0299017102,0.030133634,-1.82002e-06,1.745619e-06,0
109,16917.56657558195,-0.0299015237,0.0301340309,-1.809217e-06,1.739494e-06,0
110,16924.83445379549,-0.0299008541,0.0301348679,-1.806666e-06,1.740531e-06,0
111,16920.74582620744,-0.0299026906,0.0301336723,-1.806069e-06,1.742023e-06,0
112,16910.2055813736,-0.0299013754,0.0301344709,-1.813019e-06,1.737254e-06,0
113,16909.58538875754,-0.0299006011,0.0301345483,-1.805103e-06,1.745259e-06,0
114,16954.755027520394,-0.0299009024,0.0301360547,-1.80141e-06,1.7396e-06,0
115,16957.350885894604,-0.0298994773,0.0301359208,-1.803291e-06,1.737085e-06,0
116,16957.238271114646,-0.0298999555,0.0301348065,-1.80312e-06,1.737242e-06,0
117,16914.05935517315,-0.0299009789,0.0301351365,-1.811081e-06,1.738399e-06,0
118,16929.75330927443,-0.029900362,0.0301328649,-1.806525e-06,1.739494e-06,0
119,16877.16423541106,-0.0299015337,0.0301353326,-1.817608e-06,1.739676e-06,0
120,16857.461924629326,-0.029900362,0.0301328697,-1.806113e-06,1.755113e-06,0
121,16778.324684384155,-0.0299001803,0.0301340748,-1.820474e-06,1.75761e-06,0
122,16775.448811148202,-0.0299003094,0.030132664,-1.821022e-06,1.757599e-06,0
123,16764.8104994288,-0.0299019258,0.0301340509,-1.822156e-06,1.758915e-06,0
124,16768.892614178625,-0.0299019258,0.0301362938,-1.822887e-06,1.757446e-06,0
125,16755.63252659804,-0.0299002568,0.0301331136,-1.824134e-06,1.758743e-06,0
126,16750.067027962028,-0.0299026814,0.0301350026,-1.824664e-06,1.759661e-06,0
127,16756.127348777027,-0.0299007829,0.0301334388,-1.824412e-06,1.75841e-06,0
128,16770.2713853463,-0.0299005007,0.0301358634,-1.823088e-06,1.75684e-06,0
129,16755.95934297243,-0.0299024662,0.0301349069,-1.82379e-06,1.759256e-06,0
130,16774.260474067763,-0.0299009263,0.03013385,-1.822315e-06,1.756667e-06,0
131,16761.985342219174,-0.0298999651,0.0301344096,-1.819701e-06,1.761878e-06,0
132,16733.09523537444,-0.0299009215,0.0301353995,-1.825386e-06,1.762493e-06,0
133,16725.023359291816,-0.0299017728,0.0301340031,-1.828122e-06,1.761456e-06,0
134,16762.564033977975,-0.0299012706,0.0301338022,-1.823229e-06,1.758268e-06,0
135,16761.421013398252,-0.0299012467,0.0301349787,-1.823229e-06,1.758581e-06,0
136,16781.737121420712,-0.0298996638,0.0301345674,-1.820313e-06,1.757042e-06,0
137,16772.587501009228,-0.0299018876,0.0301351365,-1.821814e-06,1.757659e-06,0
138,16760.29187075053,-0.0299015767,0.0301348782,-1.821288e-06,1.760777e-06,0
