pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0,63.04379609999978,-0.03,-1.988985e-06,-0.029879977,0.03,2.000571e-06,0.0301506745,0.0600306515,3.9895559999999995e-06,15046.950462658002
1,63.04379609999978,-0.03,-1.989326e-06,-0.0298797586,0.03,2.0006e-06,0.0301518126,0.0600315712,3.989926e-06,15045.78561106146
2,63.04379609999978,-0.03,-1.989236e-06,-0.0298797937,0.03,2.000677e-06,0.0301517313,0.060031525,3.989913e-06,15045.823054287148
3,63.04379609999978,-0.03,-1.988645e-06,-0.029880197,0.03,1.999449e-06,0.0301517042,0.0600319012,3.988094e-06,15052.779899370476
4,63.04379609999978,-0.03,-1.986352e-06,-0.0298798431,0.03,1.997881e-06,0.0301516835,0.060031526599999996,3.984233e-06,15067.27307363801
5,63.04379609999978,-0.03,-1.984812e-06,-0.0298789853,0.03,1.994288e-06,0.0301521136,0.060031098899999996,3.979100000000001e-06,15086.602221607898
6,63.04379609999978,-0.03,-1.981321e-06,-0.0298784147,0.03,1.990818e-06,0.0301526571,0.0600310718,3.9721390000000005e-06,15113.03401013912
7,63.04379609999978,-0.03,-1.976477e-06,-0.0298776989,0.03,1.989046e-06,0.030151908,0.060029606900000004,3.965523e-06,15137.878887601964
8,63.04379609999978,-0.03,-1.975853e-06,-0.0298791973,0.03,1.98742e-06,0.0301522762,0.0600314735,3.963273e-06,15146.943826478771
9,63.04379609999978,-0.03,-1.973811e-06,-0.0298787287,0.03,1.981223e-06,0.0301517996,0.0600305283,3.955034e-06,15178.25846756311
10,63.04379609999978,-0.03,-1.958346e-06,-0.0298790316,0.03,1.965568e-06,0.0301517867,0.0600308183,3.923914e-06,15298.70896762773
11,63.04379609999978,-0.03,-1.95663e-06,-0.0298782748,0.03,1.98678e-06,0.0301519047,0.0600301795,3.94341e-06,15222.91100849265
12,63.04379609999978,-0.03,-1.97754e-06,-0.0298782892,0.03,1.990751e-06,0.0301519812,0.0600302704,3.968291e-06,15127.486971091586
13,63.04379609999978,-0.03,-1.980173e-06,-0.0298786223,0.03,1.993494e-06,0.0301517788,0.060030401100000005,3.973667e-06,15107.053786842229
14,63.04379609999978,-0.03,-1.982269e-06,-0.0298783067,0.03,1.99542e-06,0.0301520816,0.0600303883,3.977689e-06,15091.7752242571
15,63.04379609999978,-0.03,-1.983573e-06,-0.0298783944,0.03,1.994989e-06,0.0301521438,0.0600305382,3.978562e-06,15088.501373109179
16,63.04379609999978,-0.03,-1.983008e-06,-0.0298785795,0.03,1.993742e-06,0.0301518569,0.0600304364,3.9767500000000005e-06,15095.350826680076
17,63.04379609999978,-0.03,-1.981345e-06,-0.0298783436,0.03,1.993322e-06,0.0301523733,0.0600307169,3.974667e-06,15103.332404953673
18,63.04379609999978,-0.03,-1.979233e-06,-0.0298776805,0.03,1.992251e-06,0.0301517947,0.0600294752,3.971484e-06,15115.124522722488
19,63.04379609999978,-0.03,-1.980608e-06,-0.0298788728,0.03,1.991683e-06,0.0301513245,0.060030197300000004,3.972291e-06,15112.235558774524
20,63.04379609999978,-0.03,-1.981615e-06,-0.0298789206,0.03,1.993735e-06,0.0301512208,0.0600301414,3.97535e-06,15100.592752839373
21,63.04379609999978,-0.03,-1.980943e-06,-0.0298790418,0.03,1.993876e-06,0.0301517906,0.0600308324,3.974819e-06,15102.78390034867
22,63.04379609999978,-0.03,-1.981507e-06,-0.0298793995,0.03,1.993574e-06,0.0301514686,0.060030868099999996,3.975081e-06,15101.797447649493
23,63.04379609999978,-0.03,-1.982496e-06,-0.0298794409,0.03,1.99394e-06,0.0301519708,0.060031411699999995,3.976436e-06,15096.788103719007
24,63.04379609999978,-0.03,-1.983966e-06,-0.0298789818,0.03,1.99677e-06,0.030151271,0.0600302528,3.980736e-06,15080.189392112414
