pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0,-0.03,-1.260353e-06,-0.0298715488,0.03,1.479967e-06,0.0301232945,0.0599948433,2.74032e-06,21893.37132159748
1,-0.03,-1.6153e-06,-0.0298707151,0.03,1.708646e-06,0.0301224688,0.0599931839,3.323946e-06,18048.784155939957
2,-0.03,-1.705926e-06,-0.0298707024,0.03,1.663667e-06,0.0301225899,0.0599932923,3.369593e-06,17804.314141203406
3,-0.03,-1.621554e-06,-0.029869856,0.03,1.791368e-06,0.030122507,0.059992363,3.412922e-06,17578.005884693524
4,-0.03,-1.821092e-06,-0.0298698607,0.03,1.84727e-06,0.0301231112,0.0599929719,3.668362e-06,16354.158041109355
5,-0.03,-1.965409e-06,-0.0298691433,0.03,1.987254e-06,0.0301222358,0.059991379100000006,3.952663e-06,15177.45861460995
6,-0.03,-1.97385e-06,-0.0298688899,0.03,1.991529e-06,0.0301228782,0.0599917681,3.965379e-06,15128.886318306522
7,-0.03,-1.973375e-06,-0.029868544,0.03,1.99038e-06,0.0301227889,0.0599913329,3.9637549999999995e-06,15134.975017376202
8,-0.03,-1.973825e-06,-0.0298692182,0.03,1.990577e-06,0.030122816,0.0599920342,3.964402e-06,15132.681852143149
9,-0.03,-1.968957e-06,-0.0298690094,0.03,1.987142e-06,0.0301231253,0.059992134700000005,3.956099e-06,15164.467496895302
