nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0.1,0,2.184495400000742,-0.03,-2.12482e-06,-0.0298388574,0.03,1.963951e-06,0.0300573988,0.0598962562,4.0887709999999995e-06,14648.963270381248
0.1,1,2.184495400000742,-0.03,-1.866904e-06,-0.0299192554,0.03,2.137484e-06,0.0301395904,0.060058845799999996,4.004388e-06,14998.258360578446
0.1,2,2.184495400000742,-0.03,-1.833684e-06,-0.0299102293,0.03,2.116988e-06,0.0300796353,0.0599898646,3.950672e-06,15184.724168445266
0.1,3,2.184495400000742,-0.03,-1.608982e-06,-0.0299347372,0.03,1.980668e-06,0.0302657769,0.0602005141,3.5896499999999996e-06,16770.580446561646
0.1,4,2.184495400000742,-0.03,-2.06963e-06,-0.0298753204,0.03,1.818329e-06,0.0301514857,0.060026806099999996,3.887959e-06,15439.156148508766
0.1,5,2.184495400000742,-0.03,-1.79322e-06,-0.0297260612,0.03,1.860183e-06,0.0301702553,0.059896316500000005,3.653403e-06,16394.664508678623
0.1,6,2.184495400000742,-0.03,-2.110583e-06,-0.0300298399,0.03,2.047163e-06,0.0300992418,0.0601290817,4.157746e-06,14461.9420474459
0.1,7,2.184495400000742,-0.03,-1.80882e-06,-0.0299267871,0.03,1.865938e-06,0.0300955357,0.0600223228,3.674758e-06,16333.680421948873
0.1,8,2.184495400000742,-0.03,-1.725684e-06,-0.0299080774,0.03,2.129054e-06,0.0302999089,0.0602079863,3.854738e-06,15619.216221699113
0.1,9,2.184495400000742,-0.03,-2.054887e-06,-0.0298767551,0.03,1.817387e-06,0.0299966068,0.0598733619,3.872274e-06,15462.067482827919
0.1,10,2.184495400000742,-0.03,-1.8127e-06,-0.0297467435,0.03,1.832552e-06,0.0301652939,0.0599120374,3.645252e-06,16435.636658316078
0.1,11,2.184495400000742,-0.03,-2.108853e-06,-0.0300512993,0.03,2.077476e-06,0.0301228532,0.0601741525,4.186329e-06,14373.966427387813
0.1,12,2.184495400000742,-0.03,-1.79901e-06,-0.029746624,0.03,1.950509e-06,0.0302298517,0.059976475700000004,3.7495189999999997e-06,15995.778578532341
0.1,13,2.184495400000742,-0.03,-1.639083e-06,-0.029905507,0.03,2.089533e-06,0.0301704944,0.0600760014,3.7286159999999998e-06,16112.144935278937
0.1,14,2.184495400000742,-0.03,-2.199509e-06,-0.0298700602,0.03,1.824959e-06,0.029978973,0.0598490332,4.024468e-06,14871.290615306172
0.1,15,2.184495400000742,-0.03,-1.921199e-06,-0.0299781939,0.03,1.670122e-06,0.0301493936,0.060127587499999996,3.591321e-06,16742.470945927693
0.1,16,2.184495400000742,-0.03,-2.060068e-06,-0.0299194347,0.03,2.252392e-06,0.0300993015,0.060018736200000006,4.31246e-06,13917.517194362383
0.1,17,2.184495400000742,-0.03,-1.800669e-06,-0.02973437,0.03,1.993922e-06,0.0302186737,0.0599530437,3.7945909999999996e-06,15799.606255325016
0.1,18,2.184495400000742,-0.03,-1.603203e-06,-0.0299162068,0.03,1.981392e-06,0.0300792169,0.0599954237,3.584595e-06,16737.015952987716
0.1,19,2.184495400000742,-0.03,-2.305563e-06,-0.0298778908,0.03,1.978662e-06,0.030210066,0.0600879568,4.2842250000000005e-06,14025.397078818221
0.1,20,2.184495400000742,-0.03,-2.241418e-06,-0.0298778908,0.03,1.458037e-06,0.0299976828,0.0598755736,3.699455e-06,16184.971462012647
0.1,21,2.184495400000742,-0.03,-1.693219e-06,-0.0299073601,0.03,2.569383e-06,0.0302811393,0.0601884994,4.262602e-06,14120.131178092628
0.1,22,2.184495400000742,-0.03,-2.096262e-06,-0.0298957039,0.03,2.351651e-06,0.0301411445,0.0600368484,4.447913e-06,13497.756903068923
0.1,23,2.184495400000742,-0.03,-1.6274e-06,-0.0297940259,0.03,1.694092e-06,0.030159137,0.059953162899999995,3.321492e-06,18050.069938449345
0.1,24,2.184495400000742,-0.03,-2.50284e-06,-0.0299640272,0.03,2.291709e-06,0.030107969,0.0600719962,4.794549e-06,12529.227712554402
0.1,25,2.184495400000742,-0.03,-2.48268e-06,-0.0298678485,0.03,1.84594e-06,0.0300958943,0.0599637428,4.32862e-06,13852.854443217468
0.1,26,2.184495400000742,-0.03,-1.569549e-06,-0.0298870962,0.03,2.205513e-06,0.0301799988,0.060067095,3.775062e-06,15911.55191623343
0.1,27,2.184495400000742,-0.03,-2.303296e-06,-0.029879445,0.03,2.466099e-06,0.0301685218,0.060047966800000005,4.769395e-06,12590.269164118301
0.1,28,2.184495400000742,-0.03,-1.805293e-06,-0.0297979711,0.03,1.480266e-06,0.0301092841,0.0599072552,3.285559e-06,18233.504618240004
0.1,29,2.184495400000742,-0.03,-2.112644e-06,-0.0299764604,0.03,2.495608e-06,0.0301765318,0.0601529922,4.608252e-06,13053.320912137617
0.1,30,2.184495400000742,-0.03,-2.425568e-06,-0.0299233799,0.03,1.837526e-06,0.030052796,0.0599761759,4.263094e-06,14068.696561699084
0.1,31,2.184495400000742,-0.03,-1.401634e-06,-0.0298490193,0.03,2.139967e-06,0.0302483822,0.0600974015,3.541601e-06,16968.992695676334
0.1,32,2.184495400000742,-0.03,-2.480358e-06,-0.0299250536,0.03,2.12878e-06,0.0301109578,0.060036011400000006,4.609138e-06,13025.431523204556
0.1,33,2.184495400000742,-0.03,-1.938855e-06,-0.0299503984,0.03,1.753889e-06,0.0301406066,0.060091005,3.6927439999999998e-06,16272.724293912604
0.1,34,2.184495400000742,-0.03,-2.05425e-06,-0.0298420853,0.03,2.198002e-06,0.0301304447,0.05997253,4.252252e-06,14103.710222253996
0.1,35,2.184495400000742,-0.03,-2.096132e-06,-0.0300453815,0.03,2.16868e-06,0.0301076104,0.060152991899999994,4.264812e-06,14104.488521416653
0.1,36,2.184495400000742,-0.03,-1.813735e-06,-0.0297298271,0.03,1.859209e-06,0.0301822105,0.0599120376,3.672944e-06,16311.720951912146
