pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,differential_resistance_ohm
0,-0.03,4.331067e-09,0.000272836505,0.03,4.611493e-09,-4.93371746e-05,-1148872.3570567635
1,-0.03,4.23292e-09,-0.000584097051,0.03,4.429214e-09,-0.000513181377,361272.7541341048
2,-0.03,4.12075e-09,-0.000538591406,0.03,4.106735e-09,-0.000548590597,713463.5033892198
3,-0.03,4.260965e-09,-0.000487345749,0.03,4.134776e-09,-0.000472892909,-114533.2794459111
4,-0.03,4.345093e-09,-0.000344777971,0.03,4.373131e-09,-0.000286118599,2092138.2409586972
5,-0.03,4.246932e-09,-0.000364618634,0.03,4.260961e-09,3.19460786e-05,28267496.799486168
6,-0.03,4.260965e-09,-8.78993566e-05,0.03,4.274984e-09,0.00023714661,23186102.189884454
7,-0.03,4.274977e-09,-0.000144563048,0.03,4.359109e-09,-0.000192008609,-563941.9127086006
8,-0.03,4.387143e-09,4.10781813e-05,0.03,4.106731e-09,-5.48285338e-05,342020.72343551676
9,-0.03,4.204864e-09,-9.84889922e-06,0.03,4.148784e-09,-7.23275213e-05,1114098.1112696212
