pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
0,-0.03,-8.144058e-07,-0.02990112,0.03,8.483813e-07,0.0301343575,0.060035477500000003,1.6627871e-06,36105.33032160281,nan
1,-0.03,-8.164586e-07,-0.0299024973,0.03,8.594284e-07,0.0301341806,0.0600366779,1.675887e-06,35823.82219087564,281.50813072716846
2,-0.03,-8.18255e-07,-0.0299020095,0.03,8.503529e-07,0.0301347593,0.0600367688,1.6686078999999999e-06,35980.15375571457,156.33156483893254
3,-0.03,-8.164969e-07,-0.0299010961,0.03,8.511151e-07,0.0301324781,0.060033574199999995,1.667612e-06,35999.72547571018,19.571719995605235
4,-0.03,-8.130975e-07,-0.0299000966,0.03,8.580445e-07,0.0301352471,0.06003534369999999,1.671142e-06,35924.74110518435,74.98437052582449
5,-0.03,-8.166346e-07,-0.0299008043,0.03,8.508034e-07,0.0301338028,0.0600346071,1.6674380000000001e-06,36004.10156179719,79.36045661284152
6,-0.03,-8.19573e-07,-0.0299024017,0.03,8.547374e-07,0.0301365814,0.0600389831,1.6743103999999998e-06,35858.93219082913,145.16937096806214
7,-0.03,-8.227547e-07,-0.029902395,0.03,8.436814e-07,0.0301350158,0.060037410799999996,1.6664361e-06,36027.43051473741,168.49832390827942
8,-0.03,-8.139763e-07,-0.0299005251,0.03,8.442309e-07,0.0301355036,0.060036028699999994,1.6582072e-06,36205.38416429503,177.9536495576176
9,-0.03,-8.286147e-07,-0.0299022611,0.03,8.429257e-07,0.030133825,0.0600360861,1.6715404e-06,35916.622834841444,288.76132945358404
10,-0.03,-8.170525e-07,-0.0298996977,0.03,8.439907e-07,0.0301357236,0.0600354213,1.6610432e-06,36143.20283783107,226.58000298962725
11,-0.03,-8.158675e-07,-0.0299025815,0.03,8.554431e-07,0.0301344515,0.060037033000000004,1.6713106e-06,35922.12781992767,221.0750179034003
12,-0.03,-8.156823e-07,-0.0299000516,0.03,8.490978e-07,0.0301327107,0.0600327623,1.6647801e-06,36060.475674835376,138.34785490770446
13,-0.03,-8.144912e-07,-0.0299017733,0.03,8.457773e-07,0.0301354988,0.0600372721,1.6602685e-06,36161.18242320444,100.70674836906255
14,-0.03,-8.216246e-07,-0.0299025671,0.03,8.500665e-07,0.0301355371,0.0600381042,1.6716911e-06,35914.59223537172,246.5901878327204
15,-0.03,-8.409086e-07,-0.0299014481,0.03,8.492142e-07,0.0301343415,0.0600357896,1.6901228e-06,35521.55476513304,393.0374702386762
16,-0.03,-8.232257e-07,-0.0299025671,0.03,8.513865e-07,0.0301338967,0.060036463799999995,1.6746121999999998e-06,35850.965256314266,329.41049118122464
17,-0.03,-8.170974e-07,-0.0299019693,0.03,8.520493e-07,0.0301352119,0.0600371812,1.6691466999999998e-06,35968.78644639204,117.8211900777751
18,-0.03,-8.273136e-07,-0.029900702,0.03,8.601468e-07,0.0301349393,0.0600356413,1.6874603999999999e-06,35577.51121152236,391.2752348696813
19,-0.03,-8.371033e-07,-0.0299002429,0.03,8.520346e-07,0.0301356041,0.060035847,1.6891379e-06,35542.300601981646,35.21060954071436
20,-0.03,-8.203361e-07,-0.0299004246,0.03,8.472352e-07,0.0301355228,0.0600359474,1.6675713e-06,36002.02725964401,459.72665766236605
21,-0.03,-8.238026e-07,-0.0299042888,0.03,8.556921e-07,0.0301335189,0.0600378077,1.6794947e-06,35747.54222207429,254.4850375697206
22,-0.03,-8.227476e-07,-0.0299027537,0.03,9.045164e-07,0.0301364458,0.0600391995,1.7272639999999998e-06,34759.712180651026,987.8300414232654
23,-0.03,-8.266436e-07,-0.0299011755,0.03,8.548402e-07,0.0301373353,0.0600385108,1.6814838e-06,35705.67304900588,945.9608683548577
24,-0.03,-8.243308e-07,-0.0299006637,0.03,8.595793e-07,0.0301360153,0.060036678999999996,1.6839100999999999e-06,35653.13789613828,52.535152867603756
25,-0.03,-8.292045e-07,-0.0299008024,0.03,8.517092e-07,0.0301360058,0.0600368082,1.6809137e-06,35716.77011139834,63.63221526006237
26,-0.03,-8.207675e-07,-0.0299004533,0.03,8.486298e-07,0.0301359245,0.0600363778,1.6693973e-06,35962.90577443728,246.13566303893458
27,-0.03,-8.196093e-07,-0.0298987364,0.03,8.499408e-07,0.0301347576,0.060033494,1.6695501e-06,35957.8870978475,5.018676589774259
28,-0.03,-8.223261e-07,-0.0299013046,0.03,8.641706e-07,0.0301348054,0.060036110000000004,1.6864967e-06,35598.11886972563,359.7682281218731
29,-0.03,-8.297123e-07,-0.0299007785,0.03,8.618259e-07,0.0301359627,0.0600367412,1.6915382e-06,35492.394555440726,105.72431428490381
30,-0.03,-8.30879e-07,-0.0299005872,0.03,8.817669e-07,0.0301358719,0.060036459099999995,1.7126459e-06,35054.799769175865,437.5947862648609
31,-0.03,-8.14264e-07,-0.0299004964,0.03,8.47157e-07,0.0301362401,0.0600367365,1.661421e-06,36135.775640250125,1080.9758710742608
32,-0.03,-8.148468e-07,-0.0299017637,0.03,8.409671e-07,0.0301344419,0.0600362056,1.6558139e-06,36257.82196900268,122.04632875255629
33,-0.03,-8.108523e-07,-0.0299019072,0.03,8.398563e-07,0.0301341789,0.0600360861,1.6507086e-06,36369.88751376227,112.06554475958546
34,-0.03,-8.118027e-07,-0.0299018163,0.03,8.435065e-07,0.0301327203,0.060034536599999994,1.6553092e-06,36267.86862539034,102.01888837192382
35,-0.03,-8.137695e-07,-0.0299014433,0.03,8.441376e-07,0.0301339111,0.060035354400000004,1.6579071000000002e-06,36211.531032106686,56.33759328365704
36,-0.03,-8.136923e-07,-0.0299010272,0.03,8.471646e-07,0.0301354175,0.0600364447,1.6608569e-06,36147.873245431314,63.657786675372336
37,-0.03,-8.14505e-07,-0.0299009985,0.03,8.468552e-07,0.0301341167,0.0600351152,1.6613602e-06,36136.12219673976,11.751048691556207
38,-0.03,-8.140557e-07,-0.0299010846,0.03,8.473033e-07,0.0301355849,0.0600366695,1.661359e-06,36137.083857251804,0.9616605120463646
39,-0.03,-8.149108e-07,-0.0299019502,0.03,8.659651e-07,0.0301348867,0.0600368369,1.6808759000000001e-06,35717.59039438902,419.4934628627816
40,-0.03,-8.110504e-07,-0.0299022419,0.03,8.48822e-07,0.0301335811,0.060035823,1.6598724e-06,36168.93864853708,451.3482541480553
41,-0.03,-8.11553e-07,-0.0299009507,0.03,8.453296e-07,0.0301342793,0.06003523,1.6568826e-06,36233.84662256698,64.90797402990574
42,-0.03,-8.117042e-07,-0.0298995494,0.03,8.498222e-07,0.0301354558,0.0600350052,1.6615264e-06,36132.441350314984,101.40527225199912
43,-0.03,-8.180644e-07,-0.0299018163,0.03,8.484991e-07,0.0301360106,0.060037826899999994,1.6665635e-06,36024.92608292453,107.51526739045221
44,-0.03,-8.135264e-07,-0.0298998842,0.03,8.450284e-07,0.0301359532,0.0600358374,1.6585548e-06,36197.68089664568,172.75481372114882
45,-0.03,-8.173697e-07,-0.0299013046,0.03,8.450318e-07,0.0301347815,0.0600360861,1.6624014999999999e-06,36114.0711795556,83.609717090083
46,-0.03,-8.195191e-07,-0.029901032,0.03,8.492048e-07,0.0301356327,0.060036664700000006,1.6687239e-06,35977.590241261605,136.48093829399295
