pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
0,-0.03,-1.672184e-06,-0.0299007259,0.03,1.609904e-06,0.0301353935,0.060036119400000004,3.282088e-06,18292.050487372675,nan
1,-0.03,-1.67361e-06,-0.0299013859,0.03,1.609402e-06,0.0301338058,0.060035191700000004,3.283012e-06,18286.61963465257,5.430852720106486
2,-0.03,-1.672871e-06,-0.0298976987,0.03,1.616974e-06,0.030134241,0.060031939699999995,3.289845e-06,18247.649874082214,38.96976057035499
3,-0.03,-1.681128e-06,-0.0298995256,0.03,1.617994e-06,0.0301359005,0.0600354261,3.299122e-06,18197.394973571754,50.254900510459265
4,-0.03,-1.680174e-06,-0.0299018307,0.03,1.617602e-06,0.0301354079,0.0600372386,3.297776e-06,18205.37192338109,7.976949809337384
5,-0.03,-1.681791e-06,-0.0299001712,0.03,1.618661e-06,0.0301354318,0.060035603,3.300452e-06,18190.1154750925,15.256448288590036
6,-0.03,-1.680306e-06,-0.0299007738,0.03,1.616992e-06,0.0301364648,0.0600372386,3.297298e-06,18208.01110485009,17.89562975758963
7,-0.03,-1.678339e-06,-0.0298999448,0.03,1.615617e-06,0.0301344306,0.060034375400000006,3.2939559999999998e-06,18225.615460558674,17.60435570858317
8,-0.03,-1.679071e-06,-0.0298994761,0.03,1.615848e-06,0.0301357553,0.0600352314,3.294919e-06,18220.548486927903,5.066973630771827
9,-0.03,-1.676627e-06,-0.0299007769,0.03,1.612636e-06,0.0301360375,0.0600368144,3.289263e-06,18252.360604792015,31.812117864112224
10,-0.03,-1.676323e-06,-0.0298999161,0.03,1.612605e-06,0.0301350236,0.0600349397,3.288928e-06,18253.649730246452,1.2891254544374533
11,-0.03,-1.675482e-06,-0.029901126,0.03,1.611734e-06,0.0301357457,0.0600368717,3.287216e-06,18263.74406184443,10.094331597978453
12,-0.03,-1.675571e-06,-0.0299001648,0.03,1.611892e-06,0.030134531,0.060034695799999996,3.287463e-06,18261.709956887727,2.0341049567032314
13,-0.03,-1.675787e-06,-0.0299009921,0.03,1.61295e-06,0.0301345262,0.0600355183,3.288737e-06,18254.88578138051,6.824175507215841
14,-0.03,-1.676321e-06,-0.0299002413,0.03,1.613042e-06,0.0301333019,0.0600335432,3.289363e-06,18250.811236096473,4.074545284038322
15,-0.03,-1.670955e-06,-0.029900906,0.03,1.61266e-06,0.0301341436,0.0600350496,3.283615e-06,18283.21822138101,32.40698528453504
16,-0.03,-1.673023e-06,-0.0299018817,0.03,1.6142e-06,0.0301346553,0.060036537,3.287223e-06,18263.60335152194,19.614869859069586
17,-0.03,-1.676945e-06,-0.0298996435,0.03,1.614382e-06,0.0301368266,0.0600364701,3.291327e-06,18240.809892180267,22.793459341672133
18,-0.03,-1.675137e-06,-0.02990071,0.03,1.613186e-06,0.0301350666,0.0600357766,3.288323e-06,18257.2626229236,16.45273074333454
19,-0.03,-1.675194e-06,-0.0298994474,0.03,1.61194e-06,0.0301355831,0.0600350305,3.287134e-06,18263.639541314715,6.376918391113577
20,-0.03,-1.674793e-06,-0.0299006861,0.03,1.614358e-06,0.0301356214,0.0600363075,3.289151e-06,18252.82800941641,10.811531898303656
21,-0.03,-1.673965e-06,-0.0299001409,0.03,1.616534e-06,0.030134244,0.0600343849,3.290499e-06,18244.76618895797,8.061820458442526
22,-0.03,-1.678482e-06,-0.0298994187,0.03,1.618281e-06,0.0301363531,0.0600357718,3.296763e-06,18210.520986798263,34.245202159705514
23,-0.03,-1.678937e-06,-0.0299015708,0.03,1.618894e-06,0.0301339475,0.0600355183,3.297831e-06,18204.54665505904,5.974331739223999
24,-0.03,-1.678593e-06,-0.029899084,0.03,1.616397e-06,0.0301343397,0.0600334237,3.29499e-06,18219.60725222231,15.060597163272178
25,-0.03,-1.680505e-06,-0.029901413,0.03,1.617845e-06,0.0301345501,0.060035963100000006,3.29835e-06,18201.8169994088,17.79025281351278
26,-0.03,-1.678756e-06,-0.0299001313,0.03,1.619244e-06,0.0301325702,0.0600327015,3.298e-06,18202.759702850213,0.9427034414147784
27,-0.03,-1.679117e-06,-0.0299006478,0.03,1.615436e-06,0.030133981,0.0600346288,3.294553e-06,18222.3897445268,19.630041676588007
28,-0.03,-1.680113e-06,-0.0299007578,0.03,1.617106e-06,0.0301330532,0.060033811,3.297219e-06,18207.40781852828,14.981925998519728
29,-0.03,-1.678824e-06,-0.0298998587,0.03,1.617895e-06,0.0301344258,0.0600342845,3.296719e-06,18210.312889876266,2.905071347984631
30,-0.03,-1.680388e-06,-0.0298988066,0.03,1.617326e-06,0.0301349949,0.0600338015,3.2977139999999997e-06,18204.671933345344,5.640956530922267
31,-0.03,-1.679686e-06,-0.0298999352,0.03,1.618998e-06,0.0301350618,0.06003499700000001,3.298684e-06,18199.681145571994,4.990787773349439
32,-0.03,-1.678741e-06,-0.0299004804,0.03,1.614406e-06,0.0301336175,0.0600340979,3.293147e-06,18230.008529834835,30.327384262840496
33,-0.03,-1.678744e-06,-0.0299008726,0.03,1.617219e-06,0.0301343158,0.060035188399999995,3.295963e-06,18214.764061368405,15.24446846642968
34,-0.03,-1.678894e-06,-0.0299008056,0.03,1.619448e-06,0.0301348562,0.0600356618,3.298342e-06,18201.769798280468,12.994263087937725
35,-0.03,-1.6795e-06,-0.0298995622,0.03,1.612812e-06,0.0301354014,0.060034963600000005,3.292312e-06,18234.894991726178,33.125193445710465
36,-0.03,-1.67966e-06,-0.0299013891,0.03,1.618952e-06,0.030135301,0.0600366901,3.298612e-06,18200.591673103718,34.30331862246021
37,-0.03,-1.679849e-06,-0.0298991987,0.03,1.613767e-06,0.0301331776,0.0600323763,3.293616e-06,18226.8899288806,26.29825577688098
38,-0.03,-1.677301e-06,-0.0299008104,0.03,1.616186e-06,0.0301344593,0.0600352697,3.293487e-06,18228.48236534712,1.5924364665224857
39,-0.03,-1.678216e-06,-0.0298994044,0.03,1.623797e-06,0.030135937,0.0600353414,3.302013e-06,18181.43702038726,47.04534495986081
40,-0.03,-1.685222e-06,-0.0299009013,0.03,1.624351e-06,0.0301347701,0.060035671400000004,3.309573e-06,18140.005191001983,41.431829385277524
41,-0.03,-1.685526e-06,-0.029898577,0.03,1.624975e-06,0.0301350666,0.0600336436,3.310501e-06,18134.307647090274,5.697543911708635
42,-0.03,-1.709665e-06,-0.0298999926,0.03,1.650555e-06,0.0301351575,0.060035150100000004,3.36022e-06,17866.434370368606,267.87327672166793
43,-0.03,-1.703351e-06,-0.0298993374,0.03,1.655006e-06,0.030133871,0.060033208399999996,3.3583569999999998e-06,17875.767346949713,9.332976581106777
44,-0.03,-1.714103e-06,-0.0298999974,0.03,1.655425e-06,0.030135717,0.060035714399999995,3.3695279999999996e-06,17817.247519533896,58.51982741581742
45,-0.03,-1.708707e-06,-0.0299006048,0.03,1.654924e-06,0.0301342106,0.0600348154,3.363631e-06,17848.21682283223,30.969303298334125
46,-0.03,-1.710936e-06,-0.0298994713,0.03,1.649767e-06,0.0301351671,0.0600346384,3.3607029999999997e-06,17863.714347861147,15.497525028917153
47,-0.03,-1.705666e-06,-0.0299006621,0.03,1.635509e-06,0.0301341054,0.0600347675,3.3411750000000002e-06,17968.160153239503,104.44580537835645
48,-0.03,-1.697408e-06,-0.0299012456,0.03,1.644518e-06,0.030134311,0.0600355566,3.341926e-06,17964.358456770136,3.801696469367016
49,-0.03,-1.701246e-06,-0.0299019056,0.03,1.647201e-06,0.0301334119,0.060035317500000004,3.348447e-06,17929.30200179367,35.05645497646765
50,-0.03,-1.710733e-06,-0.0298999591,0.03,1.655999e-06,0.0301356596,0.0600356187,3.3667320000000003e-06,17832.015943056944,97.28605873672495
51,-0.03,-1.712664e-06,-0.0299002556,0.03,1.653995e-06,0.0301341532,0.0600344088,3.366659e-06,17832.043221484564,0.02727842762033106
52,-0.03,-1.712254e-06,-0.0299014991,0.03,1.65273e-06,0.030133168,0.060034667099999994,3.364984e-06,17840.996301914063,8.953080429499096
53,-0.03,-1.71171e-06,-0.0299020682,0.03,1.651289e-06,0.0301342584,0.060036326599999995,3.362999e-06,17852.020354451488,11.024052537424723
54,-0.03,-1.711009e-06,-0.0299014991,0.03,1.652693e-06,0.0301326515,0.0600341506,3.363702e-06,17847.64244870681,4.377905744677264
55,-0.03,-1.709982e-06,-0.0299008295,0.03,1.652286e-06,0.0301342871,0.0600351166,3.362268e-06,17855.541735519,7.89928681218953
56,-0.03,-1.71085e-06,-0.0299030725,0.03,1.653446e-06,0.0301325415,0.060035614,3.364296e-06,17844.926249057753,10.615486461247201
57,-0.03,-1.712737e-06,-0.029902137,0.03,1.655072e-06,0.0301344126,0.0600365496,3.367809e-06,17826.589809576493,18.33643948125973
58,-0.03,-1.715951e-06,-0.0299027969,0.03,1.652918e-06,0.0301334705,0.060036267399999996,3.3688690000000003e-06,17820.896983527702,5.692826048791176
59,-0.03,-1.708723e-06,-0.0299014579,0.03,1.654469e-06,0.0301342596,0.0600357175,3.363192e-06,17850.81479142434,29.917807896636077
60,-0.03,-1.710631e-06,-0.0299009462,0.03,1.649248e-06,0.0301329253,0.0600338715,3.359879e-06,17867.86711664319,17.052325218850456
61,-0.03,-1.705852e-06,-0.0299017066,0.03,1.647252e-06,0.030134867,0.060036573600000004,3.3531040000000002e-06,17904.775276877783,36.908160234594106
62,-0.03,-1.70698e-06,-0.0299019648,0.03,1.64871e-06,0.0301333509,0.0600353157,3.35569e-06,17890.602439438684,14.172837439098657
63,-0.03,-1.706747e-06,-0.0299013001,0.03,1.646267e-06,0.0301328536,0.060034153699999995,3.353014e-06,17904.534159415976,13.931719977292232
64,-0.03,-1.706153e-06,-0.0299014244,0.03,1.653105e-06,0.030133547,0.0600349714,3.3592580000000003e-06,17871.497634299,33.0365251169751
65,-0.03,-1.709459e-06,-0.0299010466,0.03,1.651453e-06,0.0301321936,0.060033240200000004,3.3609119999999998e-06,17862.1874657831,9.31016851590175
66,-0.03,-1.709314e-06,-0.029902357,0.03,1.651277e-06,0.0301349244,0.0600372814,3.360591e-06,17865.096169096447,2.9087033133473597
67,-0.03,-1.712925e-06,-0.0299006066,0.03,1.651267e-06,0.0301345561,0.060035162700000005,3.3641919999999997e-06,17845.34375564772,19.752413448728475
68,-0.03,-1.710756e-06,-0.029900401,0.03,1.655252e-06,0.0301342118,0.0600346128,3.366008e-06,17835.55261900744,9.791136640276818
69,-0.03,-1.712428e-06,-0.02990251,0.03,1.653858e-06,0.0301329827,0.0600354927,3.3662860000000003e-06,17834.34108094202,1.2115380654213368
70,-0.03,-1.708186e-06,-0.0299019313,0.03,1.647914e-06,0.0301352017,0.060037133,3.3561e-06,17888.958314710526,54.617233768505685
71,-0.03,-1.707853e-06,-0.0299012427,0.03,1.647885e-06,0.0301335422,0.0600347849,3.3557379999999997e-06,17890.188357970736,1.2300432602096407
72,-0.03,-1.710206e-06,-0.0299018357,0.03,1.656474e-06,0.0301363543,0.060038190000000005,3.3666799999999998e-06,17833.055116613403,57.133241357332736
73,-0.03,-1.716243e-06,-0.0299006927,0.03,1.657792e-06,0.0301365504,0.0600372431,3.374035e-06,17793.90050784891,39.15460876449288
74,-0.03,-1.71606e-06,-0.0299015344,0.03,1.656932e-06,0.0301350822,0.060036616599999995,3.372992e-06,17799.217015634782,5.316507785872091
75,-0.03,-1.714947e-06,-0.0298993489,0.03,1.658425e-06,0.0301350678,0.060034416699999996,3.373372e-06,17796.559851685495,2.657163949286769
76,-0.03,-1.714346e-06,-0.0299025435,0.03,1.656305e-06,0.0301332983,0.0600358418,3.370651e-06,17811.349142940046,14.789291254550335
77,-0.03,-1.708512e-06,-0.0299008649,0.03,1.653748e-06,0.0301343552,0.0600352201,3.3622599999999997e-06,17855.615003003935,44.265860063889704
78,-0.03,-1.715505e-06,-0.029900927,0.03,1.656882e-06,0.03013524,0.060036167,3.3723870000000004e-06,17802.276844264907,53.338158739028586
79,-0.03,-1.716071e-06,-0.0299022661,0.03,1.658344e-06,0.0301339822,0.0600362483,3.374415e-06,17791.601892476177,10.674951788729231
80,-0.03,-1.7158e-06,-0.0298995975,0.03,1.657907e-06,0.0301361726,0.0600357701,3.373707e-06,17795.193862418993,3.591969942815922
81,-0.03,-1.716969e-06,-0.029901257,0.03,1.658765e-06,0.0301343696,0.0600356266,3.3757340000000002e-06,17784.466015391023,10.72784702797071
