index,chunk,resistance_ohm,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm,compliance_hit
1,1,15692.411232,-0.03,-0.0299049528,-1.884128e-06,15872.0388424,0.03,0.0301300227,1.941605e-06,15518.1011071,0
2,1,15696.5772482,-0.03,-0.0299049576,-1.88354e-06,15876.9962942,0.03,0.0301311227,1.941248e-06,15521.5215676,0
3,1,15701.3103745,-0.03,-0.0299036377,-1.883129e-06,15879.7606006,0.03,0.0301301184,1.940358e-06,15528.1233669,0
4,1,15687.8774671,-0.03,-0.0299054693,-1.886102e-06,15855.7009642,0.03,0.0301313475,1.940854e-06,15524.7883148,0
5,1,15688.376995,-0.03,-0.0299025951,-1.885462e-06,15859.5586122,0.03,0.0301315053,1.941199e-06,15522.1104585,0
6,1,15700.8387358,-0.03,-0.0299044698,-1.883076e-06,15880.6494268,0.03,0.030131314,1.940655e-06,15526.3630063,0
7,1,15695.8982854,-0.03,-0.0299049337,-1.884173e-06,15871.6496309,0.03,0.0301308884,1.940764e-06,15525.2716971,0
8,1,15694.2208125,-0.03,-0.0299037572,-1.884147e-06,15871.2442288,0.03,0.0301299175,1.941062e-06,15522.388002,0
9,1,15682.8067158,-0.03,-0.029904422,-1.885709e-06,15858.4500578,0.03,0.0301300992,1.942338e-06,15512.2842677,0
10,1,15698.1186118,-0.03,-0.0299039389,-1.883522e-06,15876.6071753,0.03,0.0301312709,1.940835e-06,15524.9008288,0
11,1,15691.3032319,-0.03,-0.0299040203,-1.884719e-06,15866.5670055,0.03,0.030131204,1.9413e-06,15521.1476845,0
12,1,15689.0842877,-0.03,-0.0299057276,-1.88517e-06,15863.6768037,0.03,0.030131754,1.941534e-06,15519.5603064,0
13,1,15682.5557472,-0.03,-0.0299029012,-1.886283e-06,15852.8180554,0.03,0.0301312709,1.941803e-06,15517.1615761,0
14,1,15697.2337116,-0.03,-0.0299039676,-1.883733e-06,15874.8440464,0.03,0.0301308405,1.940814e-06,15524.8470487,0
15,1,15691.761579,-0.03,-0.029905058,-1.884195e-06,15871.5302822,0.03,0.0301314335,1.941793e-06,15517.3252247,0
16,1,15680.9539046,-0.03,-0.0299037046,-1.885614e-06,15858.8685701,0.03,0.030131094,1.942903e-06,15508.2852824,0
17,1,15692.5510787,-0.03,-0.0299032838,-1.883334e-06,15877.8441848,0.03,0.0301326818,1.942428e-06,15512.8950983,0
18,1,15698.8750842,-0.03,-0.0299050915,-1.883418e-06,15878.0958343,0.03,0.0301332939,1.940957e-06,15524.9672713,0
19,1,15689.3348181,-0.03,-0.0299029681,-1.885275e-06,15861.3295673,0.03,0.0301325383,1.941242e-06,15522.2987654,0
20,1,15682.3791608,-0.03,-0.0299039724,-1.885479e-06,15860.1460955,0.03,0.0301327386,1.942812e-06,15509.8581849,0
21,1,15693.2603375,-0.03,-0.0299032928,-1.883585e-06,15875.7331365,0.03,0.0301329538,1.942022e-06,15516.2782914,0
22,1,15696.2923978,-0.03,-0.0299017289,-1.88318e-06,15878.3169426,0.03,0.0301332933,1.94161e-06,15519.7456235,0
