index,differential_resistance_ohm,negative_voltage_v,positive_voltage_v,negative_current_a,positive_current_a,compliance_hit
1,240689.974569,-0.0299004449,0.0301335798,-1.434077e-07,1.06017e-07,0
2,243226.503836,-0.029901081,0.0301333981,-1.400359e-07,1.067895e-07,0
3,237226.521372,-0.0299030943,0.0301332211,-1.392718e-07,1.138041e-07,0
4,229989.629298,-0.0298997515,0.0301330155,-1.468886e-07,1.141352e-07,0
5,234278.77453,-0.0299012579,0.0301337089,-1.432276e-07,1.130268e-07,0
6,234868.900786,-0.0298997849,0.0301333168,-1.429907e-07,1.126119e-07,0
7,234122.166033,-0.0299033717,0.030133465,-1.434377e-07,1.129961e-07,0
8,230062.717259,-0.0299012244,0.0301337567,-1.450118e-07,1.159387e-07,0
9,228059.603582,-0.0299027309,0.0301334124,-1.457659e-07,1.174817e-07,0
10,231974.948765,-0.0299020087,0.0301344071,-1.448452e-07,1.139604e-07,0
11,234890.656477,-0.0299024631,0.0301332163,-1.432379e-07,1.12352e-07,0
12,238681.310158,-0.0299033478,0.0301336181,-1.40657e-07,1.108791e-07,0
13,235053.363303,-0.0299006792,0.0301342063,-1.414849e-07,1.139247e-07,0
14,230636.663536,-0.0299012149,0.0301333933,-1.45126e-07,1.151735e-07,0
15,232927.500024,-0.0299009662,0.0301320207,-1.439123e-07,1.138202e-07,0
16,236166.166269,-0.0298998662,0.0301330537,-1.393478e-07,1.1485e-07,0
17,235988.861198,-0.0299006266,0.0301347037,-1.425675e-07,1.118315e-07,0
18,233801.382037,-0.029901937,0.0301336754,-1.415487e-07,1.152317e-07,0
19,233413.567397,-0.0299018796,0.0301321833,-1.437518e-07,1.134486e-07,0
20,233939.566878,-0.0299028361,0.0301340341,-1.433836e-07,1.132505e-07,0
21,234809.833827,-0.0299032091,0.0301340963,-1.421717e-07,1.135131e-07,0
22,236081.572778,-0.0299021618,0.0301343737,-1.414785e-07,1.128257e-07,0
23,234801.019881,-0.0299034052,0.0301297682,-1.43291e-07,1.123858e-07,0
24,234151.398015,-0.0299021761,0.0301332355,-1.432751e-07,1.131206e-07,0
25,234065.080655,-0.0299023196,0.0301336181,-1.429926e-07,1.134999e-07,0
26,231637.16301,-0.0299023722,0.0301334172,-1.441406e-07,1.150397e-07,0
27,230470.226085,-0.0299015544,0.0301328051,-1.446347e-07,1.158517e-07,0
28,234021.574971,-0.0299002775,0.0301318964,-1.43368e-07,1.131561e-07,0
29,234432.762155,-0.0299002249,0.0301330824,-1.442016e-07,1.118774e-07,0
30,234714.843307,-0.0298996654,0.0301328337,-1.422398e-07,1.13528e-07,0
31,231529.04344,-0.0299033382,0.0301316334,-1.448813e-07,1.144165e-07,0
32,233148.170112,-0.0299006219,0.0301323507,-1.436719e-07,1.138166e-07,0
33,232278.058208,-0.0299006984,0.0301320303,-1.445139e-07,1.139381e-07,0
34,237001.327211,-0.0299022287,0.0301333359,-1.41889e-07,1.114242e-07,0
35,239441.838548,-0.0299030082,0.0301333933,-1.416206e-07,1.091142e-07,0
36,235816.023801,-0.0299004688,0.0301338811,-1.42083e-07,1.124983e-07,0
37,235139.413183,-0.0299016979,0.0301332976,-1.421578e-07,1.131588e-07,0
38,231252.378443,-0.0299003493,0.0301333694,-1.433803e-07,1.162223e-07,0
39,236653.09502,-0.0299022526,0.0301326855,-1.414663e-07,1.12217e-07,0
40,235656.89636,-0.0299016214,0.0301339289,-1.433269e-07,1.114314e-07,0
41,233826.219535,-0.0299001245,0.0301341728,-1.433033e-07,1.134442e-07,0
42,235324.909671,-0.0299025204,0.0301341824,-1.412487e-07,1.138739e-07,0
43,240374.281018,-0.0298992524,0.0301331426,-1.396893e-07,1.100562e-07,0
44,238950.25838,-0.0299008401,0.0301326166,-1.390054e-07,1.122329e-07,0
45,239470.300657,-0.029901371,0.0301324205,-1.393868e-07,1.113073e-07,0
46,236174.498205,-0.0299006393,0.0301330996,-1.407601e-07,1.134322e-07,0
47,239927.617279,-0.029902074,0.0301332622,-1.402709e-07,1.099518e-07,0
48,240267.375341,-0.0299027005,0.0301318514,-1.386261e-07,1.112395e-07,0
49,235722.995308,-0.0299011845,0.030134233,-1.421256e-07,1.125607e-07,0
50,236315.688598,-0.0299010888,0.0301320761,-1.407521e-07,1.132859e-07,0
51,234905.749224,-0.029900644,0.0301317988,-1.420509e-07,1.135088e-07,0
52,239186.664733,-0.0299019162,0.0301333626,-1.402436e-07,1.10754e-07,0
53,237581.646932,-0.0299025139,0.0301338456,-1.412338e-07,1.11464e-07,0
54,233868.527514,-0.0299025283,0.0301324348,-1.427516e-07,1.139523e-07,0
55,230479.270563,-0.0299002328,0.0301338552,-1.460152e-07,1.144598e-07,0
56,238249.254925,-0.0299020118,0.0301339891,-1.398825e-07,1.121057e-07,0
57,236729.55332,-0.0299024948,0.0301326644,-1.423259e-07,1.112764e-07,0
58,238612.14063,-0.0299006297,0.0301317749,-1.407219e-07,1.10868e-07,0
59,237327.232146,-0.0299007827,0.0301339174,-1.407242e-07,1.122375e-07,0
60,241034.215603,-0.0299002184,0.0301350173,-1.385816e-07,1.104919e-07,0
61,236149.883669,-0.0299019496,0.0301345534,-1.402549e-07,1.139756e-07,0
62,237667.962663,-0.0299014475,0.0301330996,-1.404475e-07,1.121509e-07,0
63,235619.946183,-0.0299008688,0.0301321718,-1.426914e-07,1.120962e-07,0
64,239274.667932,-0.0299024135,0.0301346634,-1.414196e-07,1.094932e-07,0
65,240174.429862,-0.0299009023,0.0301344912,-1.383827e-07,1.115831e-07,0
