pair,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm,abs_step_ohm
0,-0.03,-2.035881e-06,-0.0299003509,0.03,2.046591e-06,0.0301362712,0.0600366221,4.082472e-06,14705.948283295022,nan
1,-0.03,-2.034055e-06,-0.0298994423,0.03,2.04769e-06,0.0301369838,0.0600364261,4.081745e-06,14708.519542499593,2.5712592045711062
2,-0.03,-2.033126e-06,-0.0299007144,0.03,2.047126e-06,0.0301340617,0.0600347761,4.080252e-06,14713.497132039884,4.9775895402908645
3,-0.03,-2.033576e-06,-0.0299001597,0.03,2.04853e-06,0.0301351187,0.0600352784,4.082106e-06,14706.937644441376,6.559487598507985
4,-0.03,-2.034464e-06,-0.029901317,0.03,2.049629e-06,0.0301362617,0.0600375787,4.084093e-06,14700.345633657216,6.592010784159356
5,-0.03,-2.033059e-06,-0.0299003653,0.03,2.047535e-06,0.0301363956,0.0600367609,4.080594e-06,14712.750374087695,12.404740430478341
6,-0.03,-2.033188e-06,-0.0299001357,0.03,2.049274e-06,0.0301342148,0.0600343505,4.082462e-06,14705.427876609752,7.322497477942306
7,-0.03,-2.035878e-06,-0.0298998871,0.03,2.049075e-06,0.0301336744,0.0600335615,4.0849530000000005e-06,14696.267374434907,9.160502174845533
8,-0.03,-2.03471e-06,-0.0298996527,0.03,2.048913e-06,0.0301371225,0.0600367752,4.083623000000001e-06,14701.840791865458,5.573417430550762
9,-0.03,-2.035741e-06,-0.0299000879,0.03,2.048259e-06,0.0301361564,0.0600362443,4.084e-06,14700.353648383936,1.4871434815213433
10,-0.03,-2.035248e-06,-0.0298991697,0.03,2.046734e-06,0.0301361325,0.0600353022,4.081982e-06,14707.390233469918,7.036585085981642
11,-0.03,-2.033405e-06,-0.0299011448,0.03,2.049439e-06,0.0301350039,0.0600361487,4.082844e-06,14704.492432235962,2.897801233955761
12,-0.03,-2.033262e-06,-0.0299006953,0.03,2.048291e-06,0.0301341526,0.060034847899999993,4.081553e-06,14708.824778215547,4.332345979584716
13,-0.03,-2.033614e-06,-0.0298994614,0.03,2.048347e-06,0.030136166,0.0600356274,4.081961e-06,14707.545564497064,1.2792137184824242
14,-0.03,-2.033567e-06,-0.029900987,0.03,2.049833e-06,0.0301368738,0.060037860799999995,4.083400000000001e-06,14702.909536170835,4.63602832622928
15,-0.03,-2.033724e-06,-0.0298991888,0.03,2.049183e-06,0.0301339231,0.060033111900000005,4.082907e-06,14703.52175545512,0.6122192842849472
16,-0.03,-2.034119e-06,-0.0299006714,0.03,2.050229e-06,0.0301361564,0.0600368278,4.0843480000000005e-06,14699.243991941918,4.277763513202444
17,-0.03,-2.033632e-06,-0.0298989067,0.03,2.050291e-06,0.0301362377,0.0600351444,4.0839229999999996e-06,14700.361490654943,1.1174987130252703
18,-0.03,-2.034681e-06,-0.0298988732,0.03,2.049199e-06,0.0301368499,0.060035723099999994,4.08388e-06,14700.657977217741,0.29648656279823626
19,-0.03,-2.035126e-06,-0.0298982324,0.03,2.048137e-06,0.0301357069,0.0600339393,4.083263e-06,14702.44245839663,1.7844811788891093
20,-0.03,-2.034007e-06,-0.0299007001,0.03,2.048039e-06,0.0301364769,0.060037177,4.082046e-06,14707.618924431523,5.176466034892655
21,-0.03,-2.035267e-06,-0.0299001023,0.03,2.047118e-06,0.0301346452,0.0600347475,4.082385e-06,14705.802490455946,1.8164339755767287
22,-0.03,-2.03234e-06,-0.0299006188,0.03,2.047032e-06,0.0301370555,0.060037674299999996,4.079372e-06,14717.38157245772,11.579082001773713
23,-0.03,-2.03325e-06,-0.0298993897,0.03,2.04693e-06,0.0301373377,0.0600367274,4.08018e-06,14714.23500923979,3.1465632179297245
24,-0.03,-2.034732e-06,-0.0299002266,0.03,2.048746e-06,0.0301365869,0.0600368135,4.083478e-06,14702.372217996523,11.862791243267566
25,-0.03,-2.032751e-06,-0.0298998823,0.03,2.0482e-06,0.0301365486,0.0600364309,4.080951e-06,14711.382444925215,9.010226928692646
26,-0.03,-2.034774e-06,-0.0298990741,0.03,2.04906e-06,0.0301363238,0.060035397899999995,4.083834e-06,14700.743933274465,10.638511650749933
27,-0.03,-2.034873e-06,-0.0299013409,0.03,2.047722e-06,0.0301379259,0.060039266800000005,4.082595e-06,14706.153022771057,5.40908949659206
28,-0.03,-2.033712e-06,-0.0298992797,0.03,2.050607e-06,0.0301361947,0.0600354744,4.0843189999999995e-06,14699.01699646869,7.1360263023671
29,-0.03,-2.035005e-06,-0.0298988828,0.03,2.048221e-06,0.0301352267,0.0600341095,4.083226e-06,14702.61736675854,3.6003702898506162
30,-0.03,-2.035459e-06,-0.0299005737,0.03,2.049048e-06,0.030137001,0.0600375747,4.0845070000000004e-06,14698.854647574357,3.7627191841838794
31,-0.03,-2.035762e-06,-0.0298997415,0.03,2.049105e-06,0.0301351119,0.060034853400000004,4.084867e-06,14696.893044498145,1.961603076211759
32,-0.03,-2.033954e-06,-0.0299009515,0.03,2.049671e-06,0.0301367523,0.060037703799999995,4.083624999999999e-06,14702.060987480487,5.1679429823416285
33,-0.03,-2.03396e-06,-0.0298991485,0.03,2.050353e-06,0.0301357719,0.0600349204,4.084313e-06,14698.90294891699,3.15803856349703
34,-0.03,-2.035772e-06,-0.0298977425,0.03,2.050254e-06,0.0301362454,0.0600339879,4.086026000000001e-06,14692.512455867876,6.390493049113502
35,-0.03,-2.034802e-06,-0.0298982303,0.03,2.051431e-06,0.0301351167,0.060033347,4.086233e-06,14691.61132025511,0.9011356127666659
36,-0.03,-2.035903e-06,-0.0298986799,0.03,2.049434e-06,0.0301365993,0.0600352792,4.085337e-06,14695.306458194269,3.6951379391593946
37,-0.03,-2.035016e-06,-0.0298990146,0.03,2.04872e-06,0.030136341,0.0600353556,4.083736e-06,14701.086358177905,5.779899983635914
38,-0.03,-2.035127e-06,-0.0298980964,0.03,2.048161e-06,0.0301359632,0.0600340596,4.083288e-06,14702.381903995016,1.2955458171109058
39,-0.03,-2.035701e-06,-0.0298993972,0.03,2.04789e-06,0.0301367667,0.0600361639,4.083591e-06,14701.806302345167,0.5756016498489771
40,-0.03,-2.034679e-06,-0.0298984455,0.03,2.048972e-06,0.0301364941,0.060034939600000004,4.083651e-06,14701.290487360455,0.5158149847120512
41,-0.03,-2.033845e-06,-0.0298990625,0.03,2.049834e-06,0.0301361115,0.060035174,4.0836790000000004e-06,14701.247086267062,0.043401093393185874
42,-0.03,-2.033743e-06,-0.0298974364,0.03,2.04826e-06,0.0301355089,0.0600329453,4.082003e-06,14706.737182701729,5.490096434667066
43,-0.03,-2.034332e-06,-0.0298988568,0.03,2.049491e-06,0.0301371492,0.060036006,4.083823e-06,14700.932435122679,5.804747579049945
44,-0.03,-2.034401e-06,-0.0298986607,0.03,2.049527e-06,0.0301370488,0.0600357095,4.083928e-06,14700.48186451867,0.4505706040090445
45,-0.03,-2.033673e-06,-0.0299005785,0.03,2.050041e-06,0.0301364941,0.060037072600000005,4.0837139999999995e-06,14701.586007247328,1.1041427286581893
46,-0.03,-2.034699e-06,-0.0298984694,0.03,2.050168e-06,0.0301344711,0.0600329405,4.084867e-06,14696.424755077704,5.161252169624277
