nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
5.0,1,0,2026-05-27T21:47:17.231,16514.9405961,16515.8820183,0.9414221999977599,35223.341123543214,False,-0.03,-0.0298774903,-8.609467e-07,34703.066171227554,0.03,0.0301211494,8.424306e-07,35755.05139533156
5.0,1,1,2026-05-27T21:47:18.172,16515.8820898,16516.823471,0.9413811999984318,35252.2517578726,False,-0.03,-0.029877959,-8.59668e-07,34755.22992597142,0.03,0.0301218917,8.423467e-07,35759.49392334534
5.0,1,2,2026-05-27T21:47:19.124,16516.823538,16517.7754425,0.9519044999979087,35242.184096871526,False,-0.03,-0.0298770503,-8.588607e-07,34786.840636671346,0.03,0.0301219787,8.436169e-07,35705.75542049952
5.0,1,3,2026-05-27T21:47:20.067,16517.7755075,16518.7174172,0.941909700002725,35245.64329845928,False,-0.03,-0.0298779705,-8.594913e-07,34762.38851981399,0.03,0.0301215939,8.428344e-07,35738.44862051193
5.0,1,4,2026-05-27T21:47:21.005,16518.7174792,16519.655797,0.938317799998913,35239.27200844137,False,-0.03,-0.029878395,-8.602991e-07,34730.240912724425,0.03,0.0301221955,8.423635e-07,35759.141392047495
5.0,1,5,2026-05-27T21:47:21.946,16519.6558636,16520.5970714,0.941207799998665,35246.62848891838,False,-0.03,-0.0298780344,-8.586586e-07,34796.17440505458,0.03,0.0301223189,8.436419e-07,35705.100588294634
5.0,1,6,2026-05-27T21:47:22.888,16520.5971425,16521.5390882,0.9419457000003604,35304.92002066276,False,-0.03,-0.0298781148,-8.579013e-07,34826.98394325781,0.03,0.030121986,8.415814e-07,35792.124208068286
5.0,1,7,2026-05-27T21:47:23.830,16521.5391499,16522.4810623,0.9419124000014563,35259.62466532051,False,-0.03,-0.0298776423,-8.590455e-07,34780.04634213205,0.03,0.0301211223,8.425825e-07,35748.57334444995
5.0,1,8,2026-05-27T21:47:24.776,16522.4811214,16523.4267328,0.9456113999985973,35312.844361159674,False,-0.03,-0.0298783606,-8.583218e-07,34810.20824590498,0.03,0.0301206374,8.407483e-07,35825.98668352942
5.0,1,9,2026-05-27T21:47:25.717,16523.4267884,16524.3681633,0.9413749000013922,35236.25491950231,False,-0.03,-0.0298781603,-8.601643e-07,34735.410781405364,0.03,0.0301199605,8.42574e-07,35747.5551108864
5.0,1,10,2026-05-27T21:47:26.657,16524.3682179,16525.3078927,0.9396747999999207,35292.51454629751,False,-0.03,-0.0298786874,-8.587006e-07,34795.232936835026,0.03,0.0301205143,8.41354e-07,35800.04884983016
5.0,1,11,2026-05-27T21:47:27.601,16525.3079687,16526.251012,0.943043300001591,35285.17258117767,False,-0.03,-0.0298780838,-8.577163e-07,34834.45959928708,0.03,0.0301208166,8.426835e-07,35743.925922365874
5.0,1,12,2026-05-27T21:47:28.554,16526.2510687,16527.2050799,0.9540111999995133,35210.57469089644,False,-0.03,-0.0298771331,-8.599708e-07,34742.03205504187,0.03,0.0301219749,8.440374e-07,35687.96228697923
7.0,1,0,2026-05-27T21:47:33.850,16531.2395146,16532.5013159,1.261801299999206,35260.81913068008,False,-0.03,-0.0298769051,-8.583249e-07,34808.386777547756,0.03,0.0301214943,8.432351e-07,35721.34781865698
7.0,1,1,2026-05-27T21:47:35.113,16532.5013727,16533.76418,1.262807299997803,35262.96548110146,False,-0.03,-0.0298766605,-8.58667e-07,34794.23396962967,0.03,0.0301209197,8.427662e-07,35740.54073359847
7.0,1,2,2026-05-27T21:47:36.379,16533.7642329,16535.0296766,1.2654436999982863,35232.864579198256,False,-0.03,-0.0298770308,-8.604758e-07,34721.52360356909,0.03,0.0301214089,8.424354e-07,35755.15570689456
7.0,1,3,2026-05-27T21:47:38.005,16535.0297315,16536.6558332,1.6261016999997082,35296.11008891291,False,-0.03,-0.0298777605,-8.580902e-07,34818.90423640778,0.03,0.0301212817,8.417867e-07,35782.55833692787
7.0,1,4,2026-05-27T21:47:39.260,16536.6558915,16537.9114181,1.2555266000017582,35277.93114433257,False,-0.03,-0.0298775693,-8.585652e-07,34799.418029055916,0.03,0.0301215379,8.421895e-07,35765.74856371398
7.0,1,5,2026-05-27T21:47:40.519,16537.911474,16539.1692687,1.2577946999990672,35251.682836835724,False,-0.03,-0.0298767289,-8.589195e-07,34784.08500447364,0.03,0.0301213568,8.430726e-07,35728.069919482616
