nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.01,1,0,2026-05-27T21:38:09.933,15968.4234243,15968.5839755,0.16055120000055467,35130.93128425307,False,-0.03,-0.0297286554,-1.02477e-06,29010.075821891744,0.03,0.030120631,6.788366e-07,44370.95907910681
0.01,1,1,2026-05-27T21:38:10.096,15968.5840437,15968.7472548,0.16321109999989858,25277.122473620762,False,-0.03,-0.0296387473,-1.466113e-06,20215.86828573241,0.03,0.0302119405,9.016679e-07,33506.72736602911
0.01,1,2,2026-05-27T21:38:10.272,15968.7473151,15968.9225691,0.17525399999976798,35419.35764683048,False,-0.03,-0.0297635687,-9.99435e-07,29780.394622961972,0.03,0.0301287339,6.915133e-07,43569.27610792156
0.01,1,3,2026-05-27T21:38:10.434,15968.9226312,15969.0854119,0.16278070000043954,34143.1728104126,False,-0.03,-0.030182673,-1.188664e-06,25392.09818754501,0.03,0.0299892847,5.736783e-07,52275.438516673894
0.01,1,4,2026-05-27T21:38:10.596,15969.0854716,15969.2465216,0.1610500000006141,25955.40105371222,False,-0.03,-0.0299253773,-1.503939e-06,19897.999386943222,0.03,0.0303307533,8.175867e-07,37097.904479121295
0.01,1,5,2026-05-27T21:38:10.757,15969.2465801,15969.4083869,0.16180680000070424,20660.86867827133,False,-0.03,-0.0299617385,-1.314755e-06,22788.837844313202,0.03,0.0299959991,1.58724e-06,18898.212683652124
0.01,1,6,2026-05-27T21:38:10.945,15969.4084418,15969.5952851,0.18684329999996407,30342.942208851084,False,-0.03,-0.0298211165,-5.366406e-07,55569.99694022406,0.03,0.0298984241,1.431512e-06,20885.9053224842
0.01,1,7,2026-05-27T21:38:11.105,15969.5953609,15969.7554911,0.1601301999999123,36350.16297483307,False,-0.03,-0.0302176979,-2.506416e-07,120561.3828670101,0.03,0.0298674712,1.402313e-06,21298.719472756795
0.01,1,8,2026-05-27T21:38:11.268,15969.7555514,15969.9182517,0.1627003000012337,61146.7157866357,False,-0.03,-0.0298982545,-1.959494e-07,152581.5057356644,0.03,0.0300219132,7.839915e-07,38293.67180639076
0.01,1,9,2026-05-27T21:38:11.427,15969.9183089,15970.077637,0.15932810000049358,68197.73141807766,False,-0.03,-0.0300737343,-6.965109e-07,43177.69370156303,0.03,0.0301653696,1.867898e-07,161493.66614236965
0.01,1,10,2026-05-27T21:38:11.589,15970.0776922,15970.2407719,0.16307969999979832,81802.32492656475,False,-0.03,-0.0299487911,-6.501859e-07,46061.88953036354,0.03,0.0302603958,8.584681e-08,352492.95576620725
0.01,1,11,2026-05-27T21:38:11.791,15970.2408306,15970.4417446,0.20091400000092108,68563.71750673732,False,-0.03,-0.029856022,-7.217364e-07,41366.93396647308,0.03,0.0298405419,1.489364e-07,200357.61506253676
0.01,1,12,2026-05-27T21:38:11.943,15970.4418023,15970.5946348,0.15283249999993131,32598.61322155912,False,-0.03,-0.0299178091,-1.070916e-06,27936.653388314306,0.03,0.0304150099,7.798627e-07,39000.46751819262
0.01,1,13,2026-05-27T21:38:12.106,15970.5946991,15970.7565784,0.16187929999978223,46676.28629564718,False,-0.03,-0.0298183339,-5.999053e-07,49705.068283277375,0.03,0.0300672574,6.830929e-07,44016.35180222192
0.01,1,14,2026-05-27T21:38:12.267,15970.7566328,15970.9177104,0.16107759999977134,161624.78701311542,False,-0.03,-0.0295652372,-4.945856e-07,59777.79619948499,0.03,0.0302604848,-1.244337e-07,-243185.60647155874
0.01,1,15,2026-05-27T21:38:12.430,15970.9177657,15971.0810003,0.1632346000005782,52719.57673396618,False,-0.03,-0.0297058524,-2.842814e-07,104494.5339371482,0.03,0.0303875799,8.55588e-07,35516.603669055665
0.01,1,16,2026-05-27T21:38:12.605,15971.081055,15971.2560301,0.17497509999884642,19201.144622395717,False,-0.03,-0.0297784251,-1.403393e-06,21218.87817596354,0.03,0.0301522643,1.717811e-06,17552.72512517384
0.01,1,17,2026-05-27T21:38:12.768,15971.2560837,15971.4184756,0.16239189999942027,44783.98306848832,False,-0.03,-0.0301162803,-1.28659e-07,234078.30233407693,0.03,0.0303380215,1.22125e-06,24841.778096212896
0.01,1,18,2026-05-27T21:38:12.931,15971.4185278,15971.5818991,0.16337129999919853,69070.57787443588,False,-0.03,-0.029930712,-3.474362e-07,86147.36173144882,0.03,0.0302088882,5.232616e-07,57731.90350677367
0.01,1,19,2026-05-27T21:38:13.091,15971.5819532,15971.7416642,0.15971100000024308,35125.08819606372,False,-0.03,-0.0296955696,-1.255746e-06,23647.75169500839,0.03,0.0302825979,4.518132e-07,67024.59755491871
0.01,1,20,2026-05-27T21:38:13.253,15971.7417322,15971.903924,0.16219180000007327,33790.60778631945,False,-0.03,-0.0298954485,-9.656983e-07,30957.337814512044,0.03,0.0300836744,8.093252e-07,37171.30567539476
0.01,1,21,2026-05-27T21:38:13.452,15971.9039798,15972.1030076,0.199027800001204,34574.60310622408,False,-0.03,-0.0300918478,-7.933655e-07,37929.362696008335,0.03,0.0302628621,9.522716e-07,31779.654144888915
0.01,1,22,2026-05-27T21:38:13.616,15972.1030627,15972.2665532,0.16349049999917042,29194.88095160374,False,-0.03,-0.0296774878,-9.319892e-07,31843.16706674283,0.03,0.0302455367,1.120529e-06,26992.194490280926
0.01,1,23,2026-05-27T21:38:13.777,15972.2666082,15972.4280943,0.16148609999982,25239.950992663624,False,-0.03,-0.0296937502,-1.298279e-06,22871.6248202428,0.03,0.0302962372,1.078508e-06,28090.878509941514
0.01,1,24,2026-05-27T21:38:13.939,15972.4281493,15972.589608,0.16145870000036666,21296.952312147958,False,-0.03,-0.0297456192,-1.453809e-06,20460.472593029757,0.03,0.0302734944,1.364393e-06,22188.251039106766
0.01,1,25,2026-05-27T21:38:14.142,15972.589664,15972.7925511,0.20288710000022547,32448.318855998972,False,-0.03,-0.0296499577,-3.095383e-07,95787.68669337528,0.03,0.0301211533,1.532502e-06,19654.886779919372
0.01,1,26,2026-05-27T21:38:14.303,15972.7926066,15972.953723,0.1611164000005374,34202.705954120924,False,-0.03,-0.0299452922,-9.110856e-07,32867.70441767491,0.03,0.0299011046,8.386706e-07,35652.97817760632
0.01,1,27,2026-05-27T21:38:14.467,15972.9537868,15973.1173071,0.16352029999870865,40604.34238945709,False,-0.03,-0.0299006273,-8.478505e-07,35266.3910677649,0.03,0.0302123475,6.326063e-07,47758.530858766346
0.01,1,28,2026-05-27T21:38:14.625,15973.1173592,15973.2760176,0.15865839999969467,26663.516606803354,False,-0.03,-0.0300527487,-1.445092e-06,20796.425902295494,0.03,0.0303941287,8.219337e-07,36978.808266408836
0.01,1,29,2026-05-27T21:38:14.820,15973.2760774,15973.4710689,0.1949915000004694,32762.525815623754,False,-0.03,-0.0296598903,-6.082025e-07,48766.47218648394,0.03,0.0304239119,1.225716e-06,24821.33862982942
0.03,1,0,2026-05-27T21:38:16.382,15974.8705969,15975.0320439,0.16144700000040757,31050.104914794905,False,-0.03,-0.0298720993,-1.237711e-06,24134.95500969128,0.03,0.0301180696,6.94333e-07,43376.98136196897
0.03,1,1,2026-05-27T21:38:16.541,15975.0320996,15975.1923014,0.1602018000012322,34156.329746977244,False,-0.03,-0.0299138104,-8.241167e-07,36298.02720901057,0.03,0.0300922483,9.326897e-07,32263.944053418836
0.03,1,2,2026-05-27T21:38:16.714,15975.1923571,15975.3644075,0.17205039999862493,62773.23518468284,False,-0.03,-0.029875897,-7.245876e-07,41231.58745747236,0.03,0.0301510217,2.316626e-07,130150.57976557285
0.03,1,3,2026-05-27T21:38:16.870,15975.3644634,15975.5210274,0.15656400000079884,38373.27642656943,False,-0.03,-0.0298717035,-8.788808e-07,33988.344608279076,0.03,0.0301183562,6.844483e-07,44003.84397185295
0.03,1,4,2026-05-27T21:38:17.034,15975.5211069,15975.6848335,0.16372659999979078,75559.44426319432,False,-0.03,-0.0298385976,-4.805877e-07,62087.72634006239,0.03,0.030122559,3.12975e-07,96245.8950395399
0.03,1,5,2026-05-27T21:38:17.190,15975.6848873,15975.8414926,0.15660530000059225,32222.73660618928,False,-0.03,-0.0298734711,-1.117112e-06,26741.697430517263,0.03,0.0301667029,7.46174e-07,40428.50983818788
0.03,1,6,2026-05-27T21:38:17.346,15975.8415489,15975.9977408,0.15619189999961236,39843.50450494263,False,-0.03,-0.0298995465,-6.558823e-07,45586.75619085924,0.03,0.030153472,8.5134e-07,35418.83618765711
0.03,1,7,2026-05-27T21:38:17.504,15975.9977981,15976.154239,0.15644090000023425,33394.43032995935,False,-0.03,-0.0299286792,-4.020949e-07,74431.87963836397,0.03,0.0300473136,1.393893e-06,21556.398948843278
0.03,1,8,2026-05-27T21:38:17.698,15976.1544186,15976.3492028,0.1947842000008677,26178.818524526774,False,-0.03,-0.0298912596,-1.070889e-06,27912.565728100675,0.03,0.030156641,1.22287e-06,24660.545274640805
0.03,1,9,2026-05-27T21:38:17.857,15976.3492597,15976.50821,0.15895029999956023,29846.486127685977,False,-0.03,-0.0298068691,-1.383596e-06,21543.043706399843,0.03,0.030076667,6.227888e-07,48293.52583090769
0.03,1,10,2026-05-27T21:38:18.020,15976.5083564,15976.6703957,0.16203930000119726,24542.75044715216,False,-0.03,-0.0299004407,-1.404527e-06,21288.619371503715,0.03,0.0300771083,1.039272e-06,28940.554830689172
0.03,1,11,2026-05-27T21:38:18.177,15976.6704728,15976.8283979,0.15792510000028415,27093.347512942528,False,-0.03,-0.0298742683,-1.429829e-06,20893.59517816466,0.03,0.0301072413,7.840543e-07,38399.4339422665
0.03,1,12,2026-05-27T21:38:18.341,15976.8284545,15976.9919731,0.16351860000031593,25192.373329188686,False,-0.03,-0.0298972228,-1.295134e-06,23084.269890219854,0.03,0.0300752373,1.085446e-06,27707.723184755392
0.03,1,13,2026-05-27T21:38:18.529,15976.9920366,15977.179945,0.1879083999992872,49666.099379161875,False,-0.03,-0.029901865,-6.446624e-07,46383.75838268216,0.03,0.0300553879,5.625444e-07,53427.58349385399
0.03,1,14,2026-05-27T21:38:18.685,15977.1800041,15977.336337,0.15633290000005218,37120.353654662256,False,-0.03,-0.0299219512,-4.00686e-07,74676.80727552249,0.03,0.0301352917,1.21722e-06,24757.473340891538
0.03,1,15,2026-05-27T21:38:18.842,15977.3363966,15977.4926849,0.1562883000005968,37013.963675895924,False,-0.03,-0.029913609,-5.871645e-07,50945.87462286974,0.03,0.0300774944,1.033605e-06,29099.602265855912
0.03,1,16,2026-05-27T21:38:19.005,15977.4927523,15977.6551616,0.16240929999912623,27730.464732862798,False,-0.03,-0.0299202303,-1.159188e-06,25811.369941717825,0.03,0.0301092655,1.005561e-06,29942.753845863157
0.03,1,17,2026-05-27T21:38:19.161,15977.6552196,15977.8115765,0.15635690000090108,30173.106162347474,False,-0.03,-0.0299186781,-9.13867e-07,32738.5474035062,0.03,0.0300686553,1.074239e-06,27990.65692085281
0.03,1,18,2026-05-27T21:38:19.325,15977.8116417,15977.9756739,0.1640322000002925,44949.67315809957,False,-0.03,-0.0299299341,-3.60011e-07,83136.16556160785,0.03,0.0301282232,9.76109e-07,30865.634063408896
0.03,1,19,2026-05-27T21:38:19.503,15977.9757321,15978.1538992,0.17816710000079183,40195.34010331513,False,-0.03,-0.0298837656,-6.656596e-07,44893.46446742449,0.03,0.0301335206,8.274808e-07,36415.97557308883
0.03,1,20,2026-05-27T21:38:19.661,15978.1539563,15978.3117594,0.15780309999900055,31452.301983563975,False,-0.03,-0.0298474261,-8.227083e-07,36279.47609134368,0.03,0.0300806358,1.082655e-06,27784.13788325921
0.03,1,21,2026-05-27T21:38:19.824,15978.3118177,15978.4749417,0.16312400000060734,20614.822125704748,False,-0.03,-0.0299372637,-1.305035e-06,22939.816709896673,0.03,0.0301232372,1.608427e-06,18728.383196750612
0.03,1,22,2026-05-27T21:38:19.982,15978.4749971,15978.6329545,0.1579574000006687,33226.70876449048,False,-0.03,-0.029930987,-8.689865e-07,34443.558099003836,0.03,0.0300717109,9.368709e-07,32098.030689180334
0.03,1,23,2026-05-27T21:38:20.145,15978.6330129,15978.7964408,0.16342790000089735,24224.396286779218,False,-0.03,-0.0299040577,-1.212507e-06,24662.997986815746,0.03,0.0301098977,1.264911e-06,23803.965417329757
0.03,1,24,2026-05-27T21:38:20.311,15978.7964978,15978.9615613,0.16506350000054226,36903.172181957874,False,-0.03,-0.0298593793,-8.255046e-07,36171.06349255958,0.03,0.0301585819,8.008586e-07,37657.81112920558
0.03,1,25,2026-05-27T21:38:20.493,15978.9616136,15979.1436109,0.18199730000014824,63622.697186865815,False,-0.03,-0.0298776996,-3.333736e-07,89622.27242949052,0.03,0.0300645518,6.087784e-07,49385.05012661422
0.03,1,26,2026-05-27T21:38:20.649,15979.1436676,15979.3002713,0.156603700001142,38396.32359319073,False,-0.03,-0.0298913188,-6.390489e-07,46774.697210182196,0.03,0.0301337921,9.242547e-07,32603.342022496614
0.03,1,27,2026-05-27T21:38:20.798,15979.3003264,15979.4491735,0.14884709999932966,29242.488653639673,False,-0.03,-0.0299010307,-6.011723e-07,49737.871655097886,0.03,0.0300788314,1.449948e-06,20744.765605387227
0.03,1,28,2026-05-27T21:38:20.955,15979.449227,15979.605863,0.15663600000152655,41402.08104005191,False,-0.03,-0.029869702,-1.100317e-06,27146.45143172377,0.03,0.0300947164,3.480261e-07,86472.58467109219
0.03,1,29,2026-05-27T21:38:21.119,15979.6059155,15979.7697415,0.16382599999997183,44481.43645743641,False,-0.03,-0.0298791922,-9.15271e-07,32645.186179830893,0.03,0.0301185525,4.335556e-07,69468.71981356024
0.03,1,30,2026-05-27T21:38:21.275,15979.7697935,15979.9261783,0.15638480000052368,42302.696710919336,False,-0.03,-0.029829155,-1.181664e-06,25243.347516722184,0.03,0.0301360513,2.358628e-07,127769.4121328162
