nplc,round,sample_index,sample_wall_time,sample_started_s,sample_ended_s,sample_elapsed_s,differential_resistance_ohm,compliance_hit,negative_source_voltage_v,negative_measured_voltage_v,negative_current_a,negative_resistance_ohm,positive_source_voltage_v,positive_measured_voltage_v,positive_current_a,positive_resistance_ohm
0.01,1,0,2026-05-27T21:43:03.449,16261.9406348,16262.1000029,0.15936810000130208,27720.52409037692,False,-0.03,-0.0300542042,-9.446508e-07,31815.147142203237,0.03,0.0298818323,1.217503e-06,24543.53894815865
0.01,1,1,2026-05-27T21:43:03.608,16262.100087,16262.2583071,0.15822010000010778,34463.41208172788,False,-0.03,-0.0296897273,-6.796973e-07,43680.8080597054,0.03,0.0301812598,1.057536e-06,28539.226844287095
0.01,1,2,2026-05-27T21:43:03.764,16262.2583668,16262.4150637,0.1566968999995879,25288.55715531555,False,-0.03,-0.0301390501,-1.007877e-06,29903.500228698544,0.03,0.0301761818,1.377203e-06,21911.208296816083
0.01,1,3,2026-05-27T21:43:03.923,16262.4151221,16262.5738136,0.15869150000071386,27932.368108825693,False,-0.03,-0.0301840113,-1.331734e-06,22665.19537685454,0.03,0.029851885,8.175967e-07,36511.74839624475
0.01,1,4,2026-05-27T21:43:04.081,16262.5738767,16262.7311887,0.15731199999936507,33770.644576827086,False,-0.03,-0.029720312,-5.450374e-07,54528.94058279303,0.03,0.0299353763,1.221458e-06,24507.90473352338
0.01,1,5,2026-05-27T21:43:04.264,16262.7312516,16262.914095,0.18284339999991062,62589.82710191339,False,-0.03,-0.0297815364,-9.110908e-07,32687.780844675413,0.03,0.0302475143,4.799558e-08,630214.5801759246
0.01,1,6,2026-05-27T21:43:04.428,16262.9141532,16263.0783566,0.16420339999967837,29686.731398719647,False,-0.03,-0.0297043361,-1.340101e-06,22165.74429837751,0.03,0.0303594382,6.831522e-07,44440.226057970685
0.01,1,7,2026-05-27T21:43:04.587,16263.078422,16263.2382794,0.1598573999999644,26992.402464851595,False,-0.03,-0.0296601165,-9.614865e-07,30848.18819609012,0.03,0.0302874316,1.259418e-06,24048.75236021718
0.01,1,8,2026-05-27T21:43:04.746,16263.2383392,16263.3971202,0.15878100000009,31864.897267995704,False,-0.03,-0.0296295072,-7.512016e-07,39442.81694820671,0.03,0.0300090767,1.120406e-06,26784.109242542436
0.01,1,9,2026-05-27T21:43:04.902,16263.3971842,16263.5528147,0.15563050000127987,32898.69092528806,False,-0.03,-0.0298401182,-1.075148e-06,27754.428413576552,0.03,0.0303555213,7.545795e-07,40228.393827290565
0.01,1,10,2026-05-27T21:43:05.060,16263.5528709,16263.7111606,0.1582897000007506,34693.798058139655,False,-0.03,-0.0296564612,-1.016179e-06,29184.28859482434,0.03,0.0303191724,7.125344e-07,42551.17002070356
0.01,1,11,2026-05-27T21:43:05.256,16263.711222,16263.9072059,0.19598389999919164,39031.149364899466,False,-0.03,-0.0299036442,-9.909932e-07,30175.428247136308,0.03,0.0301837486,5.484796e-07,55031.67045775267
0.01,1,12,2026-05-27T21:43:05.414,16263.9072633,16264.0655831,0.15831980000075419,60123.86487649657,False,-0.03,-0.0298101625,-5.198106e-07,57348.12352806965,0.03,0.0303733693,4.811818e-07,63122.44000084791
0.01,1,13,2026-05-27T21:43:05.572,16264.0656402,16264.2231491,0.15750889999981155,44243.00754788621,False,-0.03,-0.0299086826,-5.744952e-07,52060.805033706114,0.03,0.0303800648,7.881777e-07,38544.689604894935
0.01,1,14,2026-05-27T21:43:05.731,16264.2232042,16264.3820511,0.15884689999984403,70537.88561733201,False,-0.03,-0.0295564888,-1.202375e-07,245817.55941366043,0.03,0.0303721814,7.29358e-07,41642.35039582757
0.01,1,15,2026-05-27T21:43:05.892,16264.3821055,16264.5422458,0.16014029999860213,39451.92736337628,False,-0.03,-0.0297525649,-9.152023e-07,32509.276801424123,0.03,0.0301521924,6.032218e-07,49985.24986994833
0.01,1,16,2026-05-27T21:43:06.048,16264.5423097,16264.6995033,0.1571936000000278,37654.53792964178,False,-0.03,-0.030078733,-7.932061e-07,37920.45093954774,0.03,0.0302602805,8.092306e-07,37393.89056716343
0.01,1,17,2026-05-27T21:43:06.207,16264.6995581,16264.8576311,0.15807300000051328,28149.96933069347,False,-0.03,-0.029806148,-9.530686e-07,31273.874724232865,0.03,0.0299829118,1.170879e-06,25607.182125565498
0.01,1,18,2026-05-27T21:43:06.403,16264.857686,16265.0542884,0.1966024000012112,28425.45434579487,False,-0.03,-0.0299829379,-5.493271e-07,54581.21017513973,0.03,0.0299158077,1.557895e-06,19202.71115832582
0.01,1,19,2026-05-27T21:43:06.556,16265.0543435,16265.2064145,0.15207100000043283,36591.74131271535,False,-0.03,-0.0296906657,-1.646763e-06,18029.713868965966,0.03,0.0303227624,-6.68177e-09,-4538133.219191921
0.01,1,20,2026-05-27T21:43:06.712,16265.2064701,16265.363469,0.1569988999999623,89418.74383324235,False,-0.03,-0.0298025808,-3.306282e-07,90139.25853874533,0.03,0.0300013636,3.381795e-07,88714.31769223149
0.01,1,21,2026-05-27T21:43:06.871,16265.363544,16265.5218329,0.15828890000011597,59218.00458215509,False,-0.03,-0.0298023031,-2.506071e-07,118920.42603741075,0.03,0.0302201307,7.629771e-07,39608.175265024336
0.01,1,22,2026-05-27T21:43:07.030,16265.5218872,16265.6808411,0.15895389999968756,41822.647438186854,False,-0.03,-0.0298558688,-8.732113e-07,34190.886902173625,0.03,0.0301235206,5.609253e-07,53703.266014209024
