nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
0.1,0,7.1137165000000095,-0.03,-1.869258e-06,-0.0298285015,0.03,1.912885e-06,0.0301281123,0.0599566138,3.782143e-06,15852.550736447565
0.1,1,7.1137165000000095,-0.03,-1.877892e-06,-0.0299246845,0.03,2.366296e-06,0.0300885987,0.0600132832,4.244188e-06,14140.10953331945
0.1,2,7.1137165000000095,-0.03,-1.839807e-06,-0.0298851114,0.03,2.126776e-06,0.0301908929,0.0600760043,3.966583e-06,15145.53062421737
0.1,3,7.1137165000000095,-0.03,-2.123804e-06,-0.0298070036,0.03,1.858112e-06,0.0301397835,0.059946787099999996,3.981916e-06,15054.759341985113
0.1,4,7.1137165000000095,-0.03,-2.241817e-06,-0.0298880608,0.03,1.915313e-06,0.0300279406,0.0599160014,4.15713e-06,14412.828417682393
0.1,5,7.1137165000000095,-0.03,-1.588867e-06,-0.0299307414,0.03,2.126208e-06,0.0302236507,0.060154392099999995,3.715075e-06,16191.972463543803
0.1,6,7.1137165000000095,-0.03,-2.020928e-06,-0.029846465,0.03,2.028269e-06,0.0301837735,0.0600302385,4.049197e-06,14825.220531379431
0.1,7,7.1137165000000095,-0.03,-2.131918e-06,-0.0299074944,0.03,1.987903e-06,0.0301553208,0.0600628152,4.119821e-06,14578.986611311511
0.1,8,7.1137165000000095,-0.03,-1.628753e-06,-0.0298676848,0.03,2.347188e-06,0.0301516148,0.0600192996,3.975941e-06,15095.621288142856
0.1,9,7.1137165000000095,-0.03,-2.223895e-06,-0.030082513,0.03,2.203624e-06,0.030084792,0.060167305000000004,4.427519e-06,13589.395099151467
0.1,10,7.1137165000000095,-0.03,-1.480577e-06,-0.029930456,0.03,2.126829e-06,0.0300800699,0.0600105259,3.607406e-06,16635.367879301637
0.1,11,7.1137165000000095,-0.03,-1.858079e-06,-0.029974389,0.03,2.033986e-06,0.0301934596,0.060167848600000004,3.8920650000000005e-06,15459.106823755512
0.1,12,7.1137165000000095,-0.03,-2.107568e-06,-0.029899912,0.03,1.62446e-06,0.0302131847,0.0601130967,3.732028e-06,16107.35415168375
0.1,13,7.1137165000000095,-0.03,-2.510764e-06,-0.0298196969,0.03,1.429417e-06,0.0302168787,0.0600365756,3.940181e-06,15237.009568849759
0.1,14,7.1137165000000095,-0.03,-1.87844e-06,-0.029964684,0.03,1.855744e-06,0.0301334321,0.0600981161,3.734184e-06,16094.042527095611
0.1,15,7.1137165000000095,-0.03,-1.629577e-06,-0.0300434677,0.03,2.564492e-06,0.030039226,0.060082693699999995,4.1940689999999996e-06,14325.633102364316
0.1,16,7.1137165000000095,-0.03,-1.843833e-06,-0.0299749654,0.03,2.303715e-06,0.0300522817,0.0600272471,4.147548e-06,14472.948137067973
0.1,17,7.1137165000000095,-0.03,-2.004909e-06,-0.0298270431,0.03,2.232429e-06,0.030153483,0.0599805261,4.237338e-06,14155.237580764151
0.1,18,7.1137165000000095,-0.03,-1.59541e-06,-0.0300402643,0.03,2.231935e-06,0.0301296921,0.0601699564,3.827345e-06,15721.069409734424
0.1,19,7.1137165000000095,-0.03,-1.446068e-06,-0.029947193,0.03,2.004159e-06,0.0302071024,0.0601542954,3.450227e-06,17434.880487573715
0.1,20,7.1137165000000095,-0.03,-2.030821e-06,-0.0299514758,0.03,2.061237e-06,0.0302200383,0.060171514100000004,4.0920579999999994e-06,14704.462668906455
0.1,21,7.1137165000000095,-0.03,-2.004002e-06,-0.0298540462,0.03,1.850705e-06,0.0301376112,0.0599916574,3.854707e-06,15563.221121605353
0.1,22,7.1137165000000095,-0.03,-1.593634e-06,-0.0299089774,0.03,2.444696e-06,0.0301089201,0.0600178975,4.03833e-06,14862.058697530909
0.1,23,7.1137165000000095,-0.03,-1.836332e-06,-0.029969587,0.03,2.074599e-06,0.0301921343,0.0601617213,3.910931e-06,15382.966690028537
0.1,24,7.1137165000000095,-0.03,-1.856794e-06,-0.0298407866,0.03,2.321548e-06,0.0302188529,0.0600596395,4.178342e-06,14374.036280419361
0.1,25,7.1137165000000095,-0.03,-2.035738e-06,-0.029915144,0.03,1.644225e-06,0.0301164018,0.0600315458,3.679963e-06,16313.0840717692
0.1,26,7.1137165000000095,-0.03,-1.890352e-06,-0.029809884,0.03,1.519719e-06,0.0301936286,0.0600035126,3.410071e-06,17595.971638127183
0.1,27,7.1137165000000095,-0.03,-1.932577e-06,-0.0298158015,0.03,1.832263e-06,0.0302239964,0.0600397979,3.76484e-06,15947.503187386448
0.1,28,7.1137165000000095,-0.03,-2.0963e-06,-0.0299338404,0.03,1.944684e-06,0.0301520257,0.0600858661,4.040984e-06,14869.117546617357
0.1,29,7.1137165000000095,-0.03,-1.789904e-06,-0.0298876933,0.03,1.443532e-06,0.0301418637,0.060029557,3.233436e-06,18565.2528765066
0.1,30,7.1137165000000095,-0.03,-1.622782e-06,-0.0298130331,0.03,1.422598e-06,0.030214492,0.0600275251,3.04538e-06,19711.013108380565
0.1,31,7.1137165000000095,-0.03,-2.119864e-06,-0.0298789196,0.03,2.123724e-06,0.0302077658,0.060086685400000006,4.243588e-06,14159.406002656244
0.1,32,7.1137165000000095,-0.03,-2.127488e-06,-0.0298716266,0.03,1.826918e-06,0.0301974241,0.0600690507,3.954406e-06,15190.410569880785
0.1,33,7.1137165000000095,-0.03,-1.99479e-06,-0.0298492693,0.03,2.247476e-06,0.0301928808,0.0600421501,4.242266e-06,14153.320442423928
0.1,34,7.1137165000000095,-0.03,-2.212579e-06,-0.030065549,0.03,2.1838e-06,0.0301045871,0.0601701361,4.396379e-06,13686.294129782715
0.1,35,7.1137165000000095,-0.03,-1.833674e-06,-0.0298999706,0.03,2.129164e-06,0.030091683,0.0599916536,3.962838e-06,15138.558174722257
