nplc,pair,elapsed_s_total,source_v_neg,current_neg_a,voltage_neg_v,source_v_pos,current_pos_a,voltage_pos_v,delta_v,delta_i,differential_resistance_ohm
10.0,0,102.83848469999975,-0.03,-1.98957e-06,-0.0298957169,0.03,1.994119e-06,0.0301374262,0.060033143100000005,3.983689e-06,15069.736392574821
10.0,1,102.83848469999975,-0.03,-1.989807e-06,-0.0298955258,0.03,1.992946e-06,0.0301372327,0.0600327585,3.982753e-06,15073.181414965979
10.0,2,102.83848469999975,-0.03,-1.987944e-06,-0.0298969978,0.03,1.989956e-06,0.0301359166,0.0600329144,3.9779e-06,15091.609743834688
10.0,3,102.83848469999975,-0.03,-1.985346e-06,-0.0298973422,0.03,1.989303e-06,0.0301355211,0.0600328633,3.974649e-06,15103.94082596979
10.0,4,102.83848469999975,-0.03,-1.98604e-06,-0.0298973814,0.03,1.988874e-06,0.0301365761,0.0600339575,3.974914e-06,15103.209151191699
10.0,5,102.83848469999975,-0.03,-1.985633e-06,-0.0298968228,0.03,1.990843e-06,0.0301362595,0.0600330823,3.976476e-06,15097.056363473588
10.0,6,102.83848469999975,-0.03,-1.986984e-06,-0.0298975521,0.03,1.990602e-06,0.0301364981,0.060034050199999994,3.977586000000001e-06,15093.0866611055
10.0,7,102.83848469999975,-0.03,-1.986848e-06,-0.0298976556,0.03,1.990932e-06,0.0301367803,0.0600344359,3.97778e-06,15092.44752097904
10.0,8,102.83848469999975,-0.03,-1.986963e-06,-0.0298981888,0.03,1.991854e-06,0.0301364101,0.0600345989,3.978817e-06,15088.554939822567
10.0,9,102.83848469999975,-0.03,-1.987316e-06,-0.0298968368,0.03,1.991565e-06,0.0301360797,0.0600329165,3.978881e-06,15087.889409107736
10.0,10,102.83848469999975,-0.03,-1.987328e-06,-0.0298960076,0.03,1.992477e-06,0.0301364991,0.0600325067,3.979805e-06,15084.283451073608
10.0,11,102.83848469999975,-0.03,-1.987828e-06,-0.0298966164,0.03,1.992309e-06,0.0301365196,0.060033136,3.980137000000001e-06,15083.183317559167
10.0,12,102.83848469999975,-0.03,-1.988248e-06,-0.0298974739,0.03,1.991924e-06,0.0301359538,0.0600334277,3.980172e-06,15083.12397052188
10.0,13,102.83848469999975,-0.03,-1.98773e-06,-0.0298965925,0.03,1.992694e-06,0.0301357855,0.060032378,3.980424e-06,15081.905344757242
10.0,14,102.83848469999975,-0.03,-1.987728e-06,-0.029897077,0.03,1.992459e-06,0.0301363168,0.0600333938,3.980187e-06,15083.058610060281
10.0,15,102.83848469999975,-0.03,-1.988847e-06,-0.0298972783,0.03,1.993309e-06,0.0301368782,0.060034156500000005,3.982156e-06,15075.792234156574
10.0,16,102.83848469999975,-0.03,-1.9892e-06,-0.0298981339,0.03,1.993942e-06,0.0301357683,0.0600339022,3.983142e-06,15071.996479161427
10.0,17,102.83848469999975,-0.03,-1.989947e-06,-0.0298985394,0.03,1.993966e-06,0.0301364828,0.060035022199999996,3.983913e-06,15069.360751602759
10.0,18,102.83848469999975,-0.03,-1.989962e-06,-0.0298977268,0.03,1.99344e-06,0.0301360538,0.0600337806,3.983402e-06,15070.982190599894
10.0,19,102.83848469999975,-0.03,-1.987492e-06,-0.0298976608,0.03,1.991499e-06,0.0301356348,0.0600332956,3.978991e-06,15087.567576805277
10.0,20,102.83848469999975,-0.03,-1.986136e-06,-0.0298976369,0.03,1.988638e-06,0.0301360796,0.0600337165,3.974774e-06,15103.680485984863
10.0,21,102.83848469999975,-0.03,-1.984715e-06,-0.0298987746,0.03,1.987592e-06,0.030135357,0.0600341316,3.972307e-06,15113.165120419946
10.0,22,102.83848469999975,-0.03,-1.982819e-06,-0.0298981855,0.03,1.986745e-06,0.0301352307,0.0600334162,3.969564e-06,15123.428215290143
10.0,23,102.83848469999975,-0.03,-1.983641e-06,-0.0298988337,0.03,1.987367e-06,0.0301350618,0.060033895500000004,3.971008e-06,15118.049497759765
10.0,24,102.83848469999975,-0.03,-1.983154e-06,-0.0298985601,0.03,1.985978e-06,0.0301358194,0.0600343795,3.969132e-06,15125.31694587129
10.0,25,102.83848469999975,-0.03,-1.981839e-06,-0.0298983746,0.03,1.985406e-06,0.0301351178,0.0600334924,3.967245e-06,15132.287620250327
10.0,26,102.83848469999975,-0.03,-1.981756e-06,-0.0298983401,0.03,1.985222e-06,0.0301351833,0.0600335234,3.966977999999999e-06,15133.313923092088
10.0,27,102.83848469999975,-0.03,-1.981335e-06,-0.029898068,0.03,1.985271e-06,0.030134959,0.060033027,3.966606e-06,15134.608025097526
10.0,28,102.83848469999975,-0.03,-1.981087e-06,-0.0298979379,0.03,1.984898e-06,0.0301356025,0.0600335404,3.965985e-06,15137.107275998273
10.0,29,102.83848469999975,-0.03,-1.981461e-06,-0.029898303,0.03,1.984334e-06,0.0301345313,0.060032834300000004,3.965795e-06,15137.654442551873
10.0,30,102.83848469999975,-0.03,-1.980552e-06,-0.0298984226,0.03,1.983632e-06,0.0301344103,0.0600328329,3.964184e-06,15143.805862694568
10.0,31,102.83848469999975,-0.03,-1.980493e-06,-0.0298979654,0.03,1.983429e-06,0.0301346374,0.0600326028,3.963922e-06,15144.748761453935
10.0,32,102.83848469999975,-0.03,-1.980387e-06,-0.029897898,0.03,1.984246e-06,0.030135262,0.06003316,3.9646329999999996e-06,15142.1733108714
10.0,33,102.83848469999975,-0.03,-1.979518e-06,-0.0298982567,0.03,1.982302e-06,0.0301361133,0.060034370000000004,3.96182e-06,15153.230081124335
